model,months,gamma,dPnL,t,yrs_up,n,n_base,side_switch
own_minus_peer1,6,3.0,-4967,-1.27,1,3557,3318,1368
mkt_ret1z,6,1.0,-7009,-1.87,0,3408,3318,697
mkt_ret1z,6,3.0,-7828,-1.38,2,3501,3318,1290
mkt_ret2z,6,1.0,-1678,-0.38,2,3416,3318,834
mkt_ret2z,6,3.0,-6136,-0.92,2,3543,3318,1448
mkt_ret5z,6,1.0,-64,-0.01,2,3474,3318,1104
mkt_ret5z,6,3.0,-9672,-1.24,2,3604,3318,1744
mkt_ret10z,6,1.0,1223,0.18,3,3559,3318,1313
mkt_ret10z,6,3.0,1490,0.17,2,3662,3318,1933
mkt_ret20z,6,1.0,-283,-0.04,2,3576,3318,1360
mkt_ret20z,6,3.0,-7147,-0.82,2,3681,3318,2027
mkt_xs5z,6,1.0,-9246,-1.83,0,3459,3318,1005
mkt_xs5z,6,3.0,-15593,-2.08,0,3583,3318,1673
mkt_xs20z,6,1.0,-13666,-2.09,1,3597,3318,1219
mkt_xs20z,6,3.0,-16555,-1.91,1,3702,3318,1847
mkt_rsi2c,6,1.0,-5046,-0.95,1,3468,3318,1048
mkt_rsi2c,6,3.0,-10119,-1.37,2,3625,3318,1711
mkt_rsi14c,6,1.0,287,0.04,2,3508,3318,1366
mkt_rsi14c,6,3.0,-5066,-0.58,1,3635,3318,2032
mkt_clv,6,1.0,-5493,-1.35,1,3441,3318,939
mkt_clv,6,3.0,-10685,-1.73,1,3542,3318,1620
mkt_clv3,6,1.0,-3766,-0.79,1,3421,3318,825
mkt_clv3,6,3.0,-4525,-0.7,2,3552,3318,1480
mkt_dsma10,6,1.0,1488,0.24,2,3481,3318,1132
mkt_dsma10,6,3.0,-4351,-0.55,2,3607,3318,1794
mkt_dsma20,6,1.0,-1536,-0.23,2,3505,3318,1273
mkt_dsma20,6,3.0,-5491,-0.61,2,3619,3318,1961
mkt_dsma50,6,1.0,-4060,-0.6,1,3449,3318,1253
mkt_dsma50,6,3.0,-4475,-0.52,1,3600,3318,1894
mkt_macd_h,6,1.0,6551,0.97,3,3557,3318,1225
mkt_macd_h,6,3.0,5866,0.69,2,3679,3318,1816
mkt_macd_slope,6,1.0,-6365,-1.27,0,3436,3318,823
mkt_macd_slope,6,3.0,-9515,-1.39,1,3551,3318,1428
mkt_di,6,1.0,3594,0.51,3,3488,3318,1370
mkt_di,6,3.0,-2231,-0.24,2,3621,3318,2076
mkt_pctb,6,1.0,-82,-0.01,2,3491,3318,1214
mkt_pctb,6,3.0,-3834,-0.45,2,3636,3318,1947
mkt_stoch14,6,1.0,-1590,-0.25,1,3496,3318,1194
mkt_stoch14,6,3.0,-1942,-0.22,2,3636,3318,1907
mkt_upcount10,6,1.0,-1985,-0.31,3,3556,3318,1170
mkt_upcount10,6,3.0,524,0.06,2,3677,3318,1738
mkt_gap,6,1.0,3036,0.64,2,3392,3318,803
mkt_gap,6,3.0,-1303,-0.2,2,3536,3318,1460
mkt_on1z,6,1.0,2778,0.73,2,3370,3318,686
mkt_on1z,6,3.0,-1162,-0.19,2,3494,3318,1274
mkt_in1z,6,1.0,-4716,-1.45,2,3413,3318,737
mkt_in1z,6,3.0,-12484,-2.26,1,3541,3318,1342
mkt_on5z,6,1.0,-2167,-0.37,2,3480,3318,988
mkt_on5z,6,3.0,767,0.1,2,3631,3318,1570
mkt_in5z,6,1.0,-242,-0.04,2,3494,3318,1117
mkt_in5z,6,3.0,-1350,-0.17,1,3631,3318,1812
mkt_body,6,1.0,-7407,-1.89,1,3446,3318,878
mkt_body,6,3.0,-11218,-1.85,1,3603,3318,1552
mkt_wick,6,1.0,-6810,-1.68,0,3413,3318,805
mkt_wick,6,3.0,-10241,-1.73,1,3502,3318,1378
mkt_engulf,6,1.0,2217,0.67,2,3390,3318,682
mkt_engulf,6,3.0,334,0.07,1,3484,3318,1232
mkt_hammer,6,1.0,-8894,-2.25,1,3406,3318,813
mkt_hammer,6,3.0,-8439,-1.47,1,3551,3318,1486
mkt_pos55,6,1.0,-2442,-0.35,2,3493,3318,1313
mkt_pos55,6,3.0,-6637,-0.77,2,3632,3318,1939
mkt_pos250,6,1.0,-14884,-1.79,0,3506,3318,1505
mkt_pos250,6,3.0,-24499,-2.33,0,3635,3318,2172
mkt_streak,6,1.0,-6499,-1.3,1,3481,3318,1044
mkt_streak,6,3.0,-12419,-1.73,1,3630,3318,1710
mkt_hhll5,6,1.0,2783,0.5,2,3472,3318,1058
mkt_hhll5,6,3.0,3144,0.43,2,3609,3318,1672
mkt_skew60,6,1.0,-11849,-1.34,2,3527,3318,1515
mkt_skew60,6,3.0,-15176,-1.43,2,3660,3318,2231
mkt_dsma200,6,1.0,-12434,-1.45,1,3557,3318,1650
mkt_dsma200,6,3.0,-18548,-1.75,0,3670,3318,2302
mkt_trend50_200,6,1.0,-11889,-1.28,2,3607,3318,1858
mkt_trend50_200,6,3.0,-14569,-1.24,1,3746,3318,2512
mkt_xq5z,6,1.0,-10946,-2.01,0,3470,3318,1041
mkt_xq5z,6,3.0,-11853,-1.59,1,3586,3318,1700
mkt_xi5z,6,1.0,-2182,-0.37,2,3473,3318,1149
mkt_xi5z,6,3.0,-2776,-0.35,1,3617,3318,1831
mkt_spy_gapz,6,1.0,1188,0.26,2,3426,3318,855
mkt_spy_gapz,6,3.0,-3683,-0.57,1,3572,3318,1512
mkt_spy_ret1z,6,1.0,-4506,-1.32,1,3392,3318,704
mkt_spy_ret1z,6,3.0,-7757,-1.49,1,3544,3318,1358
mkt_spy_dsma20,6,1.0,1116,0.17,3,3489,3318,1096
mkt_spy_dsma20,6,3.0,1425,0.18,2,3589,3318,1716
ret1z,12,1.0,-2800,-1.19,2,3368,3318,444
ret1z,12,3.0,-6027,-1.64,1,3443,3318,952
ret2z,12,1.0,-6082,-2.03,0,3389,3318,557
ret2z,12,3.0,-6619,-1.27,2,3563,3318,1354
ret5z,12,1.0,3415,0.78,3,3564,3318,979
ret5z,12,3.0,6593,0.95,2,3723,3318,1824
ret10z,12,1.0,1458,0.28,2,3598,3318,1102
ret10z,12,3.0,593,0.08,1,3745,3318,1958
ret20z,12,1.0,560,0.11,2,3577,3318,1091
ret20z,12,3.0,-1691,-0.24,2,3722,3318,1994
xs5z,12,1.0,1005,0.4,3,3401,3318,624
xs5z,12,3.0,2285,0.48,4,3577,3318,1397
xs20z,12,1.0,3548,1.13,3,3399,3318,547
xs20z,12,3.0,1002,0.21,2,3535,3318,1217
rsi2c,12,1.0,-6491,-1.67,0,3450,3318,710
rsi2c,12,3.0,-5921,-1.05,0,3685,3318,1588
rsi14c,12,1.0,-274,-0.06,2,3541,3318,1025
rsi14c,12,3.0,-4300,-0.61,1,3708,3318,2008
clv,12,1.0,455,0.12,3,3406,3318,845
clv,12,3.0,-827,-0.14,2,3586,3318,1702
clv3,12,1.0,-2427,-0.63,1,3405,3318,807
clv3,12,3.0,-4372,-0.77,1,3591,3318,1699
dsma10,12,1.0,-1970,-0.43,1,3540,3318,931
dsma10,12,3.0,2170,0.31,2,3708,3318,1789
dsma20,12,1.0,838,0.16,1,3604,3318,1108
dsma20,12,3.0,1143,0.15,1,3736,3318,1950
dsma50,12,1.0,-3334,-0.76,1,3382,3318,809
dsma50,12,3.0,-12705,-1.82,1,3499,3318,1684
macd_h,12,1.0,4565,0.77,3,3628,3318,1184
macd_h,12,3.0,11037,1.32,2,3738,3318,1975
macd_slope,12,1.0,-7230,-2.82,0,3362,3318,423
macd_slope,12,3.0,-15192,-3.19,0,3479,3318,1020
di,12,1.0,-627,-0.13,2,3529,3318,991
