model,gamma,dPnL,t,yrs_up,n,n_base,side_switch,p_fwer
uni_ret_today,1.0,-3053,-1.91,0,3331,3318,196,0.0
uni_ret_today,3.0,-4099,-1.58,1,3390,3318,512,0.0
uni_ret_today,10.0,-3045,-0.7,1,3577,3318,1253,0.0
uni_peer_ret1z,1.0,-2418,-1.31,1,3318,3318,328,0.0
uni_peer_ret1z,3.0,-2610,-0.72,2,3418,3318,827,0.0
uni_peer_ret1z,10.0,-2004,-0.34,1,3632,3318,1809,0.0
uni_peer_ret5z,1.0,-6039,-1.47,0,3420,3318,816,0.0
uni_peer_ret5z,3.0,-11596,-1.68,0,3590,3318,1729,0.0
uni_peer_ret5z,10.0,-20205,-2.18,1,3775,3318,2689,0.0
uni_on1z,1.0,-389,-0.17,2,3350,3318,367,0.0
uni_on1z,3.0,833,0.2,2,3454,3318,960,0.0
uni_on1z,10.0,3673,0.57,3,3675,3318,1940,0.0
uni_in1z,1.0,-2352,-1.17,1,3358,3318,384,0.0
uni_in1z,3.0,-3608,-0.85,3,3511,3318,1044,0.0
uni_in1z,10.0,-5349,-0.87,1,3695,3318,2040,0.0
uni_on5z,1.0,-2101,-0.57,1,3432,3318,742,0.0
uni_on5z,3.0,-645,-0.1,2,3619,3318,1613,0.0
uni_on5z,10.0,-5349,-0.61,1,3776,3318,2622,0.0
uni_in5z,1.0,-4189,-1.48,1,3365,3318,474,0.0
uni_in5z,3.0,-4973,-1.02,1,3512,3318,1203,0.0
uni_in5z,10.0,-7672,-0.97,2,3739,3318,2291,0.0
uni_body,1.0,-2994,-1.25,1,3365,3318,468,0.0
uni_body,3.0,-920,-0.2,2,3560,3318,1246,0.0
uni_body,10.0,-3977,-0.61,1,3753,3318,2363,0.0
uni_wick,1.0,-392,-0.19,2,3366,3318,409,0.0
uni_wick,3.0,523,0.13,2,3460,3318,917,0.0
uni_wick,10.0,723,0.13,2,3651,3318,1750,0.0
uni_engulf,1.0,-1973,-1.09,2,3376,3318,321,0.0
uni_engulf,3.0,-266,-0.09,2,3434,3318,729,0.0
uni_engulf,10.0,1238,0.3,2,3464,3318,1058,0.0
uni_hammer,1.0,-949,-0.57,2,3333,3318,187,0.0
uni_hammer,3.0,-674,-0.22,3,3378,3318,445,0.0
uni_hammer,10.0,1383,0.38,3,3422,3318,722,0.0
uni_pos55,1.0,-597,-0.18,2,3306,3318,407,0.0
uni_pos55,3.0,-5879,-1.12,1,3368,3318,850,0.0
uni_pos55,10.0,-8736,-1.25,1,3470,3318,1486,0.0
uni_pos250,1.0,-1370,-0.76,0,3476,3318,343,0.0
uni_pos250,3.0,-5122,-1.6,0,3653,3318,786,0.0
uni_pos250,10.0,-9136,-1.89,1,3770,3318,1378,0.0
uni_streak,1.0,-2760,-2.04,0,3320,3318,152,0.0
uni_streak,3.0,-1248,-0.53,2,3316,3318,389,0.0
uni_streak,10.0,-4862,-1.15,0,3441,3318,1153,0.0
uni_hhll5,1.0,-3865,-0.97,1,3458,3318,762,0.0
uni_hhll5,3.0,-9043,-1.41,2,3633,3318,1585,0.0
uni_hhll5,10.0,-8510,-1.01,2,3768,3318,2377,0.0
uni_skew60,1.0,304,0.23,2,3335,3318,147,0.0
uni_skew60,3.0,60,0.03,2,3379,3318,362,0.0
uni_skew60,10.0,155,0.05,2,3486,3318,865,0.0
uni_dsma200,1.0,-1942,-0.75,1,3352,3318,375,0.0
uni_dsma200,3.0,-4723,-0.86,0,3514,3318,950,0.0
uni_dsma200,10.0,-10515,-1.32,0,3779,3318,1759,0.0
uni_trend50_200,1.0,-210,-0.08,3,3479,3318,388,0.0
uni_trend50_200,3.0,-3100,-0.79,1,3645,3318,868,0.0
uni_trend50_200,10.0,-7450,-1.26,1,3773,3318,1547,0.0
uni_xq5z,1.0,-1241,-0.3,2,3504,3318,1196,0.0
uni_xq5z,3.0,3684,0.59,3,3711,3318,2179,0.0
uni_xq5z,10.0,-6087,-0.8,1,3806,3318,2884,0.0
uni_xi5z,1.0,-1160,-0.26,1,3501,3318,1187,0.0
uni_xi5z,3.0,-4407,-0.63,2,3736,3318,2254,0.0
uni_xi5z,10.0,-7022,-0.83,2,3810,3318,2868,0.0
uni_own_minus_peer1,1.0,-1150,-0.62,1,3328,3318,298,0.0
uni_own_minus_peer1,3.0,-3697,-1.2,1,3389,3318,744,0.0
uni_own_minus_peer1,10.0,-5068,-1.07,0,3499,3318,1519,0.0
