null_max_t
1.17
1.6
1.76
0.94
1.1
1.36
1.41
0.97
1.22
1.28
1.08
0.34
1.29
1.23
2.11
0.5
1.1
1.54
1.01
0.75
1.13
1.38
1.36
0.85
1.31
0.6
0.99
2.06
1.45
1.24
0.91
0.84
1.87
2.35
0.92
0.93
1.0
1.08
1.11
0.81
1.05
1.05
1.57
1.48
2.34
1.27
1.11
0.97
2.2
1.37
0.81
1.38
1.27
0.97
0.94
1.18
1.26
1.29
1.75
0.95
0.95
1.8
1.2
1.3
1.66
1.14
0.89
1.17
0.74
1.41
2.75
1.65
0.8
1.66
0.91
1.19
1.24
1.71
0.83
0.87
1.05
0.87
1.72
2.15
1.66
1.35
1.53
1.44
1.35
0.5
0.58
1.22
1.43
1.08
1.09
1.59
1.74
1.09
1.78
1.45
