model,gamma,dPnL,t,yrs_up,n,n_base,side_switch,p_fwer
mkt_pos55,3.0,-6882,-0.96,0,3466,3318,1105,1.0
mkt_pos55,10.0,-6073,-0.73,1,3644,3318,1687,1.0
mkt_pos250,1.0,-5818,-0.89,0,3441,3318,800,1.0
mkt_pos250,3.0,-4257,-0.59,2,3534,3318,1208,1.0
mkt_pos250,10.0,-2847,-0.32,1,3678,3318,1791,1.0
mkt_streak,1.0,55,0.02,3,3343,3318,439,1.0
mkt_streak,3.0,-98,-0.02,1,3476,3318,1029,1.0
mkt_streak,10.0,-3852,-0.56,2,3675,3318,1806,1.0
mkt_hhll5,1.0,-8801,-1.84,0,3433,3318,799,1.0
mkt_hhll5,3.0,-10122,-1.42,1,3558,3318,1452,1.0
mkt_hhll5,10.0,-11458,-1.29,1,3729,3318,2229,1.0
mkt_skew60,1.0,143,0.04,3,3357,3318,450,1.0
mkt_skew60,3.0,2365,0.39,2,3440,3318,1062,0.99
mkt_skew60,10.0,-47,-0.01,2,3682,3318,1952,1.0
mkt_dsma200,1.0,-3981,-0.59,2,3432,3318,813,1.0
mkt_dsma200,3.0,-6246,-0.85,1,3504,3318,1167,1.0
mkt_dsma200,10.0,-4296,-0.51,1,3614,3318,1676,1.0
mkt_trend50_200,1.0,-3557,-1.07,1,3300,3318,392,1.0
mkt_trend50_200,3.0,-8602,-1.34,1,3416,3318,904,1.0
mkt_trend50_200,10.0,-10825,-1.31,1,3618,3318,1517,1.0
mkt_xq5z,1.0,2349,0.47,2,3435,3318,841,0.99
mkt_xq5z,3.0,1079,0.15,1,3597,3318,1458,1.0
mkt_xq5z,10.0,258,0.03,2,3706,3318,2054,1.0
mkt_xi5z,1.0,-1273,-0.26,2,3438,3318,875,1.0
mkt_xi5z,3.0,-4651,-0.62,2,3623,3318,1625,1.0
mkt_xi5z,10.0,-2995,-0.32,1,3755,3318,2336,1.0
mkt_spy_gapz,1.0,831,0.53,3,3324,3318,212,0.97
mkt_spy_gapz,3.0,2028,0.6,4,3363,3318,535,0.96
mkt_spy_gapz,10.0,-74,-0.01,1,3458,3318,1153,1.0
mkt_spy_ret1z,1.0,-1271,-0.4,2,3353,3318,595,1.0
mkt_spy_ret1z,3.0,179,0.04,1,3496,3318,1251,1.0
mkt_spy_ret1z,10.0,-361,-0.05,2,3666,3318,2084,1.0
mkt_spy_dsma20,1.0,-8136,-1.4,1,3447,3318,902,1.0
mkt_spy_dsma20,3.0,-9812,-1.36,2,3591,3318,1381,1.0
mkt_spy_dsma20,10.0,-11392,-1.34,1,3729,3318,1999,1.0
mkt_ridge,1.0,-11546,-1.35,1,3635,3318,1834,1.0
mkt_ridge,3.0,-7666,-0.78,1,3752,3318,2494,1.0
mkt_ridge,10.0,-13936,-1.28,0,3822,3318,2940,1.0
