rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
clv3_s hi 25%,clv3_s,all,hi,0.25,0.1364747735831921,2023,-1.3678086405409158,-4619.629999999994,1,0,1.0
clv3_s hi 30%,clv3_s,all,hi,0.3,0.11107819292368505,2428,-0.15249745625556013,-590.464999999982,3,0,1.0
dsma10_s lo 5%,dsma10_s,all,lo,0.05,-1.6589264010059686,405,0.3786030449659918,623.2850000000035,3,4,1.0
dsma10_s lo 10%,dsma10_s,all,lo,0.1,-1.2255306899194982,810,0.6633916272408157,1656.1750000000138,3,4,1.0
dsma10_s lo 15%,dsma10_s,all,lo,0.15,-0.9217818591524973,1214,0.606707114041258,1923.5000000000073,3,4,1.0
dsma10_s lo 20%,dsma10_s,all,lo,0.2,-0.7013894751487217,1619,0.5800255785034378,2038.8400000000183,2,4,1.0
dsma10_s lo 25%,dsma10_s,all,lo,0.25,-0.5189576686677801,2023,-0.2579021226619178,-1025.6249999999927,1,4,1.0
dsma10_s lo 30%,dsma10_s,all,lo,0.3,-0.3425958368271659,2428,-0.3984006518198768,-1812.9249999999774,1,4,1.0
dsma10_s hi 5%,dsma10_s,all,hi,0.05,2.01060499580916,405,-0.27941545184753347,-416.11999999999534,2,0,1.0
dsma10_s hi 10%,dsma10_s,all,hi,0.1,1.6288811968173584,810,-0.5982977406359002,-1395.5950000000012,2,0,1.0
dsma10_s hi 15%,dsma10_s,all,hi,0.15,1.3611460338403931,1214,-0.7778446654784801,-2278.560000000005,2,0,1.0
dsma10_s hi 20%,dsma10_s,all,hi,0.2,1.1329965303928304,1619,-0.9824923074276447,-3376.3200000000033,2,0,1.0
dsma10_s hi 25%,dsma10_s,all,hi,0.25,0.9581074115859038,2023,-0.9856953570098513,-3915.810000000012,1,0,1.0
dsma10_s hi 30%,dsma10_s,all,hi,0.3,0.773964678736472,2428,-1.094134067521895,-4877.585000000014,2,0,1.0
dsma20_s lo 5%,dsma20_s,all,lo,0.05,-2.167001549968319,405,0.4026701549636769,634.810000000005,3,2,1.0
dsma20_s lo 10%,dsma20_s,all,lo,0.1,-1.585034923596977,810,-0.3581660455306897,-840.5649999999878,2,2,1.0
dsma20_s lo 15%,dsma20_s,all,lo,0.15,-1.185476959850338,1214,-0.7973207351426223,-2296.7749999999905,3,2,1.0
dsma20_s lo 20%,dsma20_s,all,lo,0.2,-0.8492651361409573,1619,-0.10911751556864542,-375.26999999998225,3,2,1.0
dsma20_s lo 25%,dsma20_s,all,lo,0.25,-0.5810009840322737,2023,0.38869494590736975,1573.9050000000207,4,2,1.0
dsma20_s lo 30%,dsma20_s,all,lo,0.3,-0.33905756003228243,2428,-0.04953703818918156,-217.94499999997788,3,2,1.0
dsma20_s hi 5%,dsma20_s,all,hi,0.05,3.1763259963843424,405,-0.5787385627902618,-914.6599999999926,2,0,1.0
dsma20_s hi 10%,dsma20_s,all,hi,0.1,2.615346548439668,810,-0.7188302882436038,-1782.219999999994,3,0,1.0
dsma20_s hi 15%,dsma20_s,all,hi,0.15,2.218406808472005,1214,-0.36745369829521385,-1125.924999999981,2,0,1.0
dsma20_s hi 20%,dsma20_s,all,hi,0.2,1.8981647092705203,1619,-0.3201303326320735,-1143.6799999999894,2,0,1.0
dsma20_s hi 25%,dsma20_s,all,hi,0.25,1.6333249652856217,2023,-0.510984229906108,-2022.8150000000023,3,0,1.0
dsma20_s hi 30%,dsma20_s,all,hi,0.3,1.4130333159732058,2428,-0.7228949179044531,-3151.5950000000084,3,0,1.0
dsma50_s lo 5%,dsma50_s,all,lo,0.05,-2.869233147432342,405,-0.4477777356355678,-710.4899999999907,3,0,1.0
dsma50_s lo 10%,dsma50_s,all,lo,0.1,-1.954259448406693,810,-0.5425864783864897,-1427.8600000000079,2,0,1.0
dsma50_s lo 15%,dsma50_s,all,lo,0.15,-1.341210423417693,1214,-0.7821284052878733,-2495.7999999999956,2,0,1.0
dsma50_s lo 20%,dsma50_s,all,lo,0.2,-0.8800806345751796,1619,-0.7932069564906152,-2935.584999999999,3,0,1.0
dsma50_s lo 25%,dsma50_s,all,lo,0.25,-0.3948694696568082,2023,-1.6039942621159713,-6585.789999999986,1,0,1.0
dsma50_s lo 30%,dsma50_s,all,lo,0.3,-0.01002091512727484,2428,-1.7607237888448624,-7771.73999999998,1,0,1.0
dsma50_s hi 5%,dsma50_s,all,hi,0.05,5.423169160302612,405,-0.016778964412345065,-30.674999999977445,4,0,1.0
dsma50_s hi 10%,dsma50_s,all,hi,0.1,4.615918416311663,810,-0.49373641109980143,-1143.4499999999716,2,0,1.0
dsma50_s hi 15%,dsma50_s,all,hi,0.15,4.089880993126704,1214,-1.1375552562164355,-3523.1599999999744,1,0,1.0
dsma50_s hi 20%,dsma50_s,all,hi,0.2,3.6329665409321947,1619,-1.4013315078817652,-5196.63499999998,1,0,1.0
dsma50_s hi 25%,dsma50_s,all,hi,0.25,3.2321907636084664,2023,-1.4163539223181187,-6099.5549999999785,1,0,1.0
dsma50_s hi 30%,dsma50_s,all,hi,0.3,2.8463088592201524,2428,-1.2880202495445479,-6046.934999999969,1,0,1.0
macd_h_s lo 5%,macd_h_s,all,lo,0.05,-0.3708245556749971,405,-0.15315518732908215,-256.594999999983,2,4,1.0
macd_h_s lo 10%,macd_h_s,all,lo,0.1,-0.2884857399143509,810,0.5418299160525303,1287.5800000000236,3,4,1.0
macd_h_s lo 15%,macd_h_s,all,lo,0.15,-0.23505776204155507,1214,-0.06789987145162238,-199.849999999984,2,4,1.0
macd_h_s lo 20%,macd_h_s,all,lo,0.2,-0.19010545481233254,1619,0.5956198010659923,2168.7800000000207,3,4,1.0
macd_h_s lo 25%,macd_h_s,all,lo,0.25,-0.1529753609988986,2023,0.6669122159241263,2915.2700000000186,4,4,1.0
macd_h_s lo 30%,macd_h_s,all,lo,0.3,-0.11944712431287233,2428,0.18034929212531828,923.2800000000425,3,4,1.0
macd_h_s hi 5%,macd_h_s,all,hi,0.05,0.37967416500478945,405,-0.8290993156370402,-1308.369999999999,2,0,1.0
macd_h_s hi 10%,macd_h_s,all,hi,0.1,0.29940468888095867,810,-1.1773093521133657,-2689.09,2,0,1.0
macd_h_s hi 15%,macd_h_s,all,hi,0.15,0.23856684095145594,1214,-1.8035099708865876,-5307.330000000009,1,0,1.0
macd_h_s hi 20%,macd_h_s,all,hi,0.2,0.1911821893245611,1619,-1.6803998907651072,-5886.6600000000035,1,0,1.0
macd_h_s hi 25%,macd_h_s,all,hi,0.25,0.1544611703311196,2023,-1.7991378869928267,-7127.270000000008,1,0,1.0
macd_h_s hi 30%,macd_h_s,all,hi,0.3,0.12019958527249085,2428,-1.9643897163478434,-8605.844999999998,1,0,1.0
macd_slope_s lo 5%,macd_slope_s,all,lo,0.05,-0.10370595800515757,405,-0.6723514182416946,-1133.6899999999914,3,0,1.0
macd_slope_s lo 10%,macd_slope_s,all,lo,0.1,-0.07975134208899051,810,-0.21026937403969334,-522.0499999999993,3,0,1.0
macd_slope_s lo 15%,macd_slope_s,all,lo,0.15,-0.06618177930269391,1214,-0.009785614556727624,-29.48499999998603,4,0,1.0
macd_slope_s lo 20%,macd_slope_s,all,lo,0.2,-0.05431495047394347,1619,-0.5145378151534311,-1814.414999999979,2,0,1.0
macd_slope_s lo 25%,macd_slope_s,all,lo,0.25,-0.04413820380389255,2023,-0.528337342172871,-2097.109999999986,2,0,1.0
macd_slope_s lo 30%,macd_slope_s,all,lo,0.3,-0.03566496750446365,2428,-0.701261502624155,-2990.834999999988,2,0,1.0
macd_slope_s hi 5%,macd_slope_s,all,hi,0.05,0.09263848831902052,405,-2.0541728155245673,-3285.035,2,0,1.0
macd_slope_s hi 10%,macd_slope_s,all,hi,0.1,0.07021748907616418,810,-2.587027450080685,-5525.0899999999965,1,0,1.0
macd_slope_s hi 15%,macd_slope_s,all,hi,0.15,0.05556306707022323,1214,-1.1948106332741122,-3162.7250000000095,2,0,1.0
macd_slope_s hi 20%,macd_slope_s,all,hi,0.2,0.043674615204969916,1619,-0.9016197520078175,-2979.8150000000096,1,0,1.0
macd_slope_s hi 25%,macd_slope_s,all,hi,0.25,0.03417268463033672,2023,-1.228599468383433,-4737.955000000013,1,0,1.0
macd_slope_s hi 30%,macd_slope_s,all,hi,0.3,0.02576850516125697,2428,-0.8553766061189094,-3586.735000000015,1,0,1.0
di_s lo 5%,di_s,all,lo,0.05,-17.900921555544127,405,-0.5790106588971236,-964.9699999999975,3,1,1.0
di_s lo 10%,di_s,all,lo,0.1,-12.878264281283734,810,-0.32146230915069646,-786.5199999999968,2,1,1.0
di_s lo 15%,di_s,all,lo,0.15,-9.669572831242942,1214,0.13691621770617837,404.145000000015,3,1,1.0
di_s lo 20%,di_s,all,lo,0.2,-6.877083270317801,1619,-0.5123250744254021,-1785.979999999974,2,1,1.0
di_s lo 25%,di_s,all,lo,0.25,-4.644014143079642,2023,-0.6183215059299543,-2545.0149999999703,2,1,1.0
di_s lo 30%,di_s,all,lo,0.3,-2.5488541660106394,2428,-0.6500586018274552,-2874.8749999999673,2,1,1.0
di_s hi 5%,di_s,all,hi,0.05,26.574421198077527,405,-0.18762763412967876,-341.9349999999904,1,0,1.0
di_s hi 10%,di_s,all,hi,0.1,21.596920959459247,810,-0.6075120580737894,-1566.154999999988,2,0,1.0
di_s hi 15%,di_s,all,hi,0.15,18.35126034985251,1214,-1.1472832332142875,-3558.924999999981,1,0,1.0
di_s hi 20%,di_s,all,hi,0.2,15.877844433054854,1619,-0.8584330827904331,-3281.9299999999785,2,0,1.0
di_s hi 25%,di_s,all,hi,0.25,13.566152495024035,2023,-0.7850541785411566,-3444.144999999986,1,0,1.0
di_s hi 30%,di_s,all,hi,0.3,11.596971269427312,2428,-1.4319215247615054,-7160.309999999983,1,0,1.0
pctb_s lo 5%,pctb_s,all,lo,0.05,-0.45553433237742164,405,0.5016124128986975,736.0700000000106,4,5,1.0
pctb_s lo 10%,pctb_s,all,lo,0.1,-0.35362786937772434,810,0.01808138719079622,43.16500000001179,2,5,1.0
pctb_s lo 15%,pctb_s,all,lo,0.15,-0.2798935005174953,1214,0.22400037278076748,694.3500000000204,3,5,1.0
pctb_s lo 20%,pctb_s,all,lo,0.2,-0.21304197441178285,1619,0.10820589711018858,373.24000000002707,3,5,1.0
pctb_s lo 25%,pctb_s,all,lo,0.25,-0.15190843628776346,2023,-0.0877473338836303,-347.44999999998254,3,5,1.0
pctb_s lo 30%,pctb_s,all,lo,0.3,-0.0934933515649896,2428,0.0036383459555724947,16.135000000023865,2,5,1.0
pctb_s hi 5%,pctb_s,all,hi,0.05,0.5129986300316041,405,0.5021775272935645,744.2049999999945,3,4,1.0
pctb_s hi 10%,pctb_s,all,hi,0.1,0.447669531019081,810,0.1289044636885864,324.52999999999884,4,4,1.0
pctb_s hi 15%,pctb_s,all,hi,0.15,0.39982395057044784,1214,0.4721174905610541,1464.0099999999911,2,4,1.0
pctb_s hi 20%,pctb_s,all,hi,0.2,0.36039358378285014,1619,0.38992017187622835,1434.6749999999884,3,4,1.0
pctb_s hi 25%,pctb_s,all,hi,0.25,0.32429827253955557,2023,-0.6210219463460851,-2511.060000000012,2,4,1.0
pctb_s hi 30%,pctb_s,all,hi,0.3,0.2861734573360794,2428,-0.39658877824086286,-1782.505000000012,3,4,1.0
stoch14_s lo 5%,stoch14_s,all,lo,0.05,-0.4264962324836314,405,1.621498745659049,2155.0850000000064,5,5,0.99
stoch14_s lo 10%,stoch14_s,all,lo,0.1,-0.3605415063818278,810,0.31693262220716506,687.945000000007,3,5,1.0
stoch14_s lo 15%,stoch14_s,all,lo,0.15,-0.2941520382372172,1214,-0.4289646671030559,-1231.25499999999,3,5,1.0
stoch14_s lo 20%,stoch14_s,all,lo,0.2,-0.2301374100786147,1619,0.5868687212273204,2038.2100000000137,4,5,1.0
stoch14_s lo 25%,stoch14_s,all,lo,0.25,-0.167431855311867,2023,0.8993170946608011,3507.410000000018,3,5,1.0
stoch14_s lo 30%,stoch14_s,all,lo,0.3,-0.1086810203552228,2428,0.4247207316754649,1852.7550000000265,4,5,1.0
stoch14_s hi 5%,stoch14_s,all,hi,0.05,0.471758187100946,405,-0.8838349733897656,-1191.2050000000017,3,2,1.0
stoch14_s hi 10%,stoch14_s,all,hi,0.1,0.441459495726182,810,0.15350892282301964,350.94999999998254,4,2,1.0
stoch14_s hi 15%,stoch14_s,all,hi,0.15,0.41237389048227424,1214,0.3721627356416995,1034.1999999999825,3,2,1.0
stoch14_s hi 20%,stoch14_s,all,hi,0.2,0.38110273818045265,1619,-0.23406911744893072,-783.4750000000095,3,2,1.0
stoch14_s hi 25%,stoch14_s,all,hi,0.25,0.34615405859765414,2023,-1.318140777531052,-5097.3899999999885,2,2,1.0
stoch14_s hi 30%,stoch14_s,all,hi,0.3,0.3066645390283329,2428,-1.4044409236125133,-6030.30000000001,2,2,1.0
upcount10_s lo 5%,upcount10_s,all,lo,0.05,-2.0,806,0.8257506001927776,1792.0250000000124,5,1,1.0
upcount10_s lo 10%,upcount10_s,all,lo,0.1,-1.0,2149,-0.448306944797058,-1872.6549999999806,1,1,1.0
upcount10_s lo 15%,upcount10_s,all,lo,0.15,-1.0,2149,-0.448306944797058,-1872.6549999999806,1,1,1.0
upcount10_s lo 20%,upcount10_s,all,lo,0.2,-1.0,2149,-0.448306944797058,-1872.6549999999806,1,1,1.0
upcount10_s lo 25%,upcount10_s,all,lo,0.25,-1.0,2149,-0.448306944797058,-1872.6549999999806,1,1,1.0
upcount10_s lo 30%,upcount10_s,all,lo,0.3,0.0,4183,-1.4296366703056436,-8908.114999999954,2,1,1.0
upcount10_s hi 5%,upcount10_s,all,hi,0.05,3.0,694,-0.6554531505743886,-1482.349999999995,2,0,1.0
upcount10_s hi 10%,upcount10_s,all,hi,0.1,2.0,1951,-0.771488026774958,-2821.604999999996,3,0,1.0
upcount10_s hi 15%,upcount10_s,all,hi,0.15,2.0,1951,-0.771488026774958,-2821.604999999996,3,0,1.0
upcount10_s hi 20%,upcount10_s,all,hi,0.2,2.0,1951,-0.771488026774958,-2821.604999999996,3,0,1.0
upcount10_s hi 25%,upcount10_s,all,hi,0.25,1.0,3909,-2.1831027139721515,-12015.119999999988,2,0,1.0
upcount10_s hi 30%,upcount10_s,all,hi,0.3,1.0,3909,-2.1831027139721515,-12015.119999999988,2,0,1.0
gap_s lo 5%,gap_s,all,lo,0.05,-0.6241692675695529,405,-0.973990188639895,-1449.6699999999983,2,3,1.0
gap_s lo 10%,gap_s,all,lo,0.1,-0.420553372316902,810,-0.4592504843682591,-1039.4699999999793,3,3,1.0
gap_s lo 15%,gap_s,all,lo,0.15,-0.31345714559221327,1214,-0.578104391156647,-1537.8949999999822,2,3,1.0
gap_s lo 20%,gap_s,all,lo,0.2,-0.24098159585494555,1619,0.21520933413081783,696.3500000000131,3,3,1.0
gap_s lo 25%,gap_s,all,lo,0.25,-0.18605613829966078,2023,0.05114913385484694,189.70500000000902,3,3,1.0
gap_s lo 30%,gap_s,all,lo,0.3,-0.13815276218848396,2428,0.29831595798517957,1192.8500000000058,3,3,1.0
gap_s hi 5%,gap_s,all,hi,0.05,0.5531937005370248,405,-1.095669141972881,-1722.2150000000038,2,0,1.0
gap_s hi 10%,gap_s,all,hi,0.1,0.3948767622817317,810,-1.6548767785858636,-3745.649999999998,2,0,1.0
gap_s hi 15%,gap_s,all,hi,0.15,0.31483604618893024,1214,-1.511365142079863,-4144.279999999999,1,0,1.0
gap_s hi 20%,gap_s,all,hi,0.2,0.25368201255424777,1619,-1.5657401891698188,-5144.07499999999,2,0,1.0
gap_s hi 25%,gap_s,all,hi,0.25,0.20354531651804986,2023,-2.1039679216470137,-7638.614999999987,1,0,1.0
gap_s hi 30%,gap_s,all,hi,0.3,0.16059244354153893,2428,-2.4313890583954154,-9581.05999999999,1,0,1.0
spy_ret1z_s lo 5%,spy_ret1z_s,all,lo,0.05,-1.5561666106944032,412,0.42112731435074124,803.4950000000099,4,1,1.0
spy_ret1z_s lo 10%,spy_ret1z_s,all,lo,0.1,-1.2415312932341542,816,-0.21896170299163698,-571.6349999999948,3,1,1.0
spy_ret1z_s lo 15%,spy_ret1z_s,all,lo,0.15,-0.9794799482926387,1225,-0.29087148371255306,-878.5299999999988,3,1,1.0
spy_ret1z_s lo 20%,spy_ret1z_s,all,lo,0.2,-0.7258268006380961,1624,-0.9426998198484533,-3244.074999999997,2,1,1.0
spy_ret1z_s lo 25%,spy_ret1z_s,all,lo,0.25,-0.5464348400855281,2023,-1.0200440170225258,-3937.1299999999937,2,1,1.0
spy_ret1z_s lo 30%,spy_ret1z_s,all,lo,0.3,-0.3862537675199911,2428,-1.5481785550814433,-6727.249999999993,2,1,1.0
spy_ret1z_s hi 5%,spy_ret1z_s,all,hi,0.05,1.6492733543892384,407,-0.19887598974008713,-378.04999999999563,2,0,1.0
spy_ret1z_s hi 10%,spy_ret1z_s,all,hi,0.1,1.327338397625451,812,-0.8215728682761282,-2163.3199999999997,3,0,1.0
spy_ret1z_s hi 15%,spy_ret1z_s,all,hi,0.15,1.1267177711207341,1217,-0.7360257376252122,-2561.7550000000047,3,0,1.0
spy_ret1z_s hi 20%,spy_ret1z_s,all,hi,0.2,0.9202081615903224,1619,-0.6789004925625042,-2663.7249999999985,2,0,1.0
spy_ret1z_s hi 25%,spy_ret1z_s,all,hi,0.25,0.7149698216082275,2030,-1.1426167661418782,-4949.119999999988,1,0,1.0
spy_ret1z_s hi 30%,spy_ret1z_s,all,hi,0.3,0.5519516302547247,2432,-1.4564175648772548,-6830.929999999986,1,0,1.0
spy_ret5z_s lo 5%,spy_ret5z_s,all,lo,0.05,-1.4516925650588393,406,-0.8174276849234827,-1768.5499999999884,2,0,1.0
spy_ret5z_s lo 10%,spy_ret5z_s,all,lo,0.1,-1.044461040897004,810,-0.3141025626300043,-950.479999999985,2,0,1.0
spy_ret5z_s lo 15%,spy_ret5z_s,all,lo,0.15,-0.8306231833626961,1216,-0.6801420545679673,-2604.1049999999814,2,0,1.0
spy_ret5z_s lo 20%,spy_ret5z_s,all,lo,0.2,-0.6100113468496948,1619,-0.5600782106998868,-2452.914999999979,3,0,1.0
spy_ret5z_s lo 25%,spy_ret5z_s,all,lo,0.25,-0.43155947910472575,2023,-0.921590422571106,-4654.399999999972,1,0,1.0
spy_ret5z_s lo 30%,spy_ret5z_s,all,lo,0.3,-0.2659626559231964,2428,-1.0015013459505506,-5647.52999999997,1,0,1.0
spy_ret5z_s hi 5%,spy_ret5z_s,all,hi,0.05,1.8406817083719489,405,0.4831354982375723,903.6550000000061,3,3,1.0
spy_ret5z_s hi 10%,spy_ret5z_s,all,hi,0.1,1.484778408140344,814,1.0179014006088676,2742.520000000004,3,3,1.0
spy_ret5z_s hi 15%,spy_ret5z_s,all,hi,0.15,1.2378814332204124,1214,0.20058653494687398,711.5900000000074,4,3,1.0
spy_ret5z_s hi 20%,spy_ret5z_s,all,hi,0.2,1.0320768795745745,1624,-0.6456912070625387,-2672.1699999999983,3,3,1.0
spy_ret5z_s hi 25%,spy_ret5z_s,all,hi,0.25,0.8983473455326859,2023,-0.5717417825448124,-2652.1199999999953,3,3,1.0
spy_ret5z_s hi 30%,spy_ret5z_s,all,hi,0.3,0.7771631196999155,2429,-0.7295999453730297,-3704.954999999998,3,3,1.0
spy_rsi2c_s lo 5%,spy_rsi2c_s,all,lo,0.05,-44.746874409402466,407,-0.7602896824085685,-1600.1199999999917,1,0,1.0
spy_rsi2c_s lo 10%,spy_rsi2c_s,all,lo,0.1,-38.672526088934234,814,-1.0762984724778122,-3259.534999999989,2,0,1.0
spy_rsi2c_s lo 15%,spy_rsi2c_s,all,lo,0.15,-33.53382959264908,1214,-0.803684950571738,-2963.119999999977,2,0,1.0
spy_rsi2c_s lo 20%,spy_rsi2c_s,all,lo,0.2,-27.966034884307163,1624,-0.43731681770130476,-1886.5199999999822,2,0,1.0
spy_rsi2c_s lo 25%,spy_rsi2c_s,all,lo,0.25,-22.36048218713675,2023,-0.6333946850138731,-3001.129999999983,2,0,1.0
spy_rsi2c_s lo 30%,spy_rsi2c_s,all,lo,0.3,-15.411696110327512,2431,-1.1866133959100649,-5960.174999999981,1,0,1.0
spy_rsi2c_s hi 5%,spy_rsi2c_s,all,hi,0.05,47.95750826122314,415,-1.3150204165191464,-2805.715,1,0,1.0
spy_rsi2c_s hi 10%,spy_rsi2c_s,all,hi,0.1,45.777496131457454,817,-1.101232777623187,-3121.0099999999984,0,0,1.0
spy_rsi2c_s hi 15%,spy_rsi2c_s,all,hi,0.15,43.06222483676797,1216,-0.7072138415972866,-2451.060000000005,3,0,1.0
spy_rsi2c_s hi 20%,spy_rsi2c_s,all,hi,0.2,40.08179363788315,1622,-0.7478666619306661,-3027.6399999999994,1,0,1.0
spy_rsi2c_s hi 25%,spy_rsi2c_s,all,hi,0.25,36.44881622009542,2024,-0.9012000904124656,-4134.064999999995,2,0,1.0
spy_rsi2c_s hi 30%,spy_rsi2c_s,all,hi,0.3,33.03223127316839,2429,-1.3861613948948517,-6931.219999999994,2,0,1.0
spy_dsma20_s lo 5%,spy_dsma20_s,all,lo,0.05,-0.03328229144983541,406,-1.4683189483128798,-3207.069999999985,0,0,1.0
spy_dsma20_s lo 10%,spy_dsma20_s,all,lo,0.1,-0.0229897873501822,812,-1.5442322967577338,-5233.774999999983,0,0,1.0
spy_dsma20_s lo 15%,spy_dsma20_s,all,lo,0.15,-0.015622002926044057,1214,-1.532546401160322,-6297.919999999984,0,0,1.0
spy_dsma20_s lo 20%,spy_dsma20_s,all,lo,0.2,-0.010405262030254336,1619,-1.720825574172904,-8319.494999999977,1,0,1.0
spy_dsma20_s lo 25%,spy_dsma20_s,all,lo,0.25,-0.005479113273006986,2025,-0.5583553990432462,-3032.1949999999706,1,0,1.0
spy_dsma20_s lo 30%,spy_dsma20_s,all,lo,0.3,-0.00010360310875590084,2431,-0.6041723855040747,-3536.8999999999614,2,0,1.0
spy_dsma20_s hi 5%,spy_dsma20_s,all,hi,0.05,0.04144374496921088,409,0.9886298862855688,1870.9300000000076,4,1,1.0
spy_dsma20_s hi 10%,spy_dsma20_s,all,hi,0.1,0.032962175723431075,811,-0.4171639456940715,-1260.5250000000015,2,1,1.0
spy_dsma20_s hi 15%,spy_dsma20_s,all,hi,0.15,0.028681427552054384,1216,-0.8437621155742914,-3653.0200000000077,1,1,1.0
spy_dsma20_s hi 20%,spy_dsma20_s,all,hi,0.2,0.0243652983446347,1619,-1.6076811474502262,-7841.145000000011,1,1,1.0
spy_dsma20_s hi 25%,spy_dsma20_s,all,hi,0.25,0.021132725517065687,2024,-1.9520943208609562,-10487.915000000015,0,1,1.0
spy_dsma20_s hi 30%,spy_dsma20_s,all,hi,0.3,0.01893522134388026,2430,-1.8768467988793278,-10757.750000000007,0,1,1.0
ret_today_s lo 5%,ret_today_s,all,lo,0.05,-1.802625551031382,405,-1.4870047196332723,-2136.7249999999985,1,2,1.0
ret_today_s lo 10%,ret_today_s,all,lo,0.1,-1.2921499933200893,810,-0.29708290793656716,-613.1149999999907,2,2,1.0
ret_today_s lo 15%,ret_today_s,all,lo,0.15,-1.0170598052769508,1214,0.615303662750632,1628.155000000006,2,2,1.0
ret_today_s lo 20%,ret_today_s,all,lo,0.2,-0.803815721616223,1619,0.10594548538331182,318.9150000000009,2,2,1.0
ret_today_s lo 25%,ret_today_s,all,lo,0.25,-0.6293068516435291,2023,-0.013878037717164412,-44.774999999983265,2,2,1.0
ret_today_s lo 30%,ret_today_s,all,lo,0.3,-0.4852866094173128,2428,-0.17249643127630016,-634.1249999999891,2,2,1.0
ret_today_s hi 5%,ret_today_s,all,hi,0.05,1.5532337606273794,405,-0.9927953748012839,-1633.309999999994,3,0,1.0
ret_today_s hi 10%,ret_today_s,all,hi,0.1,1.1446630132288604,810,-1.028962513960407,-2341.8650000000016,2,0,1.0
ret_today_s hi 15%,ret_today_s,all,hi,0.15,0.8884003451054879,1214,-1.6434979609227853,-4635.944999999992,2,0,1.0
ret_today_s hi 20%,ret_today_s,all,hi,0.2,0.6887140652162889,1619,-2.224162717479975,-7189.239999999991,2,0,1.0
ret_today_s hi 25%,ret_today_s,all,hi,0.25,0.5291599034961284,2023,-2.4700214663708446,-8652.474999999988,2,0,1.0
ret_today_s hi 30%,ret_today_s,all,hi,0.3,0.39950993621595376,2428,-1.9736901648055565,-7686.594999999983,2,0,1.0
peer_ret1z_s lo 5%,peer_ret1z_s,all,lo,0.05,-1.3690766333048683,405,0.7587564219805639,1173.7200000000012,5,5,1.0
peer_ret1z_s lo 10%,peer_ret1z_s,all,lo,0.1,-1.041954161888168,810,1.0315254984355127,2496.3800000000047,5,5,1.0
peer_ret1z_s lo 15%,peer_ret1z_s,all,lo,0.15,-0.8117945732123772,1214,1.0619675311520926,3148.4300000000076,6,5,1.0
peer_ret1z_s lo 20%,peer_ret1z_s,all,lo,0.2,-0.6209393169079601,1619,0.29641361155373863,986.0849999999919,4,5,1.0
peer_ret1z_s lo 25%,peer_ret1z_s,all,lo,0.25,-0.4814718493300072,2023,0.08508393700175997,315.0200000000041,3,5,1.0
peer_ret1z_s lo 30%,peer_ret1z_s,all,lo,0.3,-0.34681290556975314,2428,-0.7058390384948325,-2934.0299999999843,2,5,1.0
peer_ret1z_s hi 5%,peer_ret1z_s,all,hi,0.05,1.3459099160101238,405,-0.5040053023830066,-886.3250000000044,3,0,1.0
peer_ret1z_s hi 10%,peer_ret1z_s,all,hi,0.1,1.0334287882452304,810,-0.8515262232196336,-2131.3099999999904,2,0,1.0
peer_ret1z_s hi 15%,peer_ret1z_s,all,hi,0.15,0.8461913185988666,1214,-0.07369377442860686,-227.1899999999987,4,0,1.0
peer_ret1z_s hi 20%,peer_ret1z_s,all,hi,0.2,0.7039711820922571,1619,-0.49276223691522264,-1784.3349999999919,1,0,1.0
peer_ret1z_s hi 25%,peer_ret1z_s,all,hi,0.25,0.5644500994810187,2023,-1.4573277234701334,-6099.579999999998,1,0,1.0
peer_ret1z_s hi 30%,peer_ret1z_s,all,hi,0.3,0.4441628148827853,2428,-1.5372586435568223,-7071.499999999996,1,0,1.0
peer_ret5z_s lo 5%,peer_ret5z_s,all,lo,0.05,-1.2084638753692434,405,0.17200772160348363,276.8950000000077,3,2,1.0
peer_ret5z_s lo 10%,peer_ret5z_s,all,lo,0.1,-0.903481689885669,810,0.24369571520045746,623.6550000000025,3,2,1.0
peer_ret5z_s lo 15%,peer_ret5z_s,all,lo,0.15,-0.6910114855454281,1214,-0.613532938195254,-2049.399999999994,2,2,1.0
peer_ret5z_s lo 20%,peer_ret5z_s,all,lo,0.2,-0.5341336909193287,1619,-0.4046700731893385,-1637.2749999999724,3,2,1.0
peer_ret5z_s lo 25%,peer_ret5z_s,all,lo,0.25,-0.3937077417692085,2023,-0.5347549127230595,-2428.449999999979,2,2,1.0
peer_ret5z_s lo 30%,peer_ret5z_s,all,lo,0.3,-0.27077576238431705,2428,-0.8822932779878844,-4424.444999999971,2,2,1.0
peer_ret5z_s hi 5%,peer_ret5z_s,all,hi,0.05,1.47695433069003,405,0.3543599569674171,540.7800000000061,4,1,1.0
peer_ret5z_s hi 10%,peer_ret5z_s,all,hi,0.1,1.166231045467628,810,-0.6542118243686629,-1533.9449999999997,2,1,1.0
peer_ret5z_s hi 15%,peer_ret5z_s,all,hi,0.15,0.9547294219995104,1214,-0.34496525820610796,-1041.3150000000023,3,1,1.0
peer_ret5z_s hi 20%,peer_ret5z_s,all,hi,0.2,0.8006206034253273,1619,-0.6836196484525192,-2446.1099999999933,1,1,1.0
peer_ret5z_s hi 25%,peer_ret5z_s,all,hi,0.25,0.6655318842394906,2023,-0.5861634872938818,-2466.82499999999,1,1,1.0
