rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
peer_corr bear_call lo 15%,peer_corr,bear_call,lo,0.15,0.42461653335946875,271,0.12191529754725439,156.93500000001222,1,4,1.0
peer_corr bear_call lo 20%,peer_corr,bear_call,lo,0.2,0.4525121178538154,361,0.12744273649706198,199.57000000000698,1,4,1.0
peer_corr bear_call lo 25%,peer_corr,bear_call,lo,0.25,0.4777379549642539,451,0.5228800705115272,942.1500000000087,3,4,1.0
peer_corr bear_call lo 30%,peer_corr,bear_call,lo,0.3,0.501478904489962,541,0.6469327525036183,1256.180000000004,4,4,1.0
peer_corr bear_call hi 5%,peer_corr,bear_call,hi,0.05,0.8474415256033972,91,2.3072183726356053,1017.6450000000041,3,4,0.605
peer_corr bear_call hi 10%,peer_corr,bear_call,hi,0.1,0.8248891791075017,181,2.1355412458776346,1911.2250000000022,3,4,0.81
peer_corr bear_call hi 15%,peer_corr,bear_call,hi,0.15,0.7995336596418549,271,1.417359613512887,1500.760000000002,3,4,1.0
peer_corr bear_call hi 20%,peer_corr,bear_call,hi,0.2,0.782005697302806,361,0.483818494843981,629.8050000000076,2,4,1.0
peer_corr bear_call hi 25%,peer_corr,bear_call,hi,0.25,0.7611363892509274,451,-0.4906667948288865,-711.4149999999863,2,4,1.0
peer_corr bear_call hi 30%,peer_corr,bear_call,hi,0.3,0.7352806155801421,541,-0.21394154351850123,-357.1299999999901,2,4,1.0
ret1z_s >= 1.0 sigma,ret1z_s,all,abs,1.0,1.0,1183,-0.6367101322458628,-1848.284999999989,2,0,1.0
peer_ret1z_s >= 1.0 sigma,peer_ret1z_s,all,abs,1.0,1.0,877,-0.7985901062071035,-2063.9249999999884,2,0,1.0
ret1z_s >= 1.5 sigma,ret1z_s,all,abs,1.5,1.5,509,-0.5240600358864531,-871.1800000000003,2,0,1.0
peer_ret1z_s >= 1.5 sigma,peer_ret1z_s,all,abs,1.5,1.5,273,-0.19195935809062958,-261.71000000000276,4,0,1.0
ret1z_s >= 2.0 sigma,ret1z_s,all,abs,2.0,2.0,197,-1.2445861907655802,-1438.0049999999974,2,0,1.0
peer_ret1z_s >= 2.0 sigma,peer_ret1z_s,all,abs,2.0,2.0,64,-1.4468097495832175,-1077.130000000001,3,0,1.0
ret1z_s >= 2.5 sigma,ret1z_s,all,abs,2.5,2.5,69,-1.3168944908808584,-671.4699999999939,3,0,1.0
peer_ret1z_s >= 2.5 sigma,peer_ret1z_s,all,abs,2.5,2.5,10,-0.9916238152154011,-248.00999999999476,1,0,1.0
