label,window_start,window_end,years,trading_days,trade_days,n_trades,final_equity,pnl,total_return_pct,cagr_pct,daily_sharpe,weekly_sharpe,max_dd_pct,calmar,wagered,yield_pct,avg_trades_per_trade_day,pnl_per_trade,avg_max_loss,median_max_loss,avg_credit,median_credit,full_win_pct,loss_pct,partial_pct,profitable_pct,avg_win_pnl,avg_loss_pnl,worst_trade,best_trade
base_gap_on,2020-07-14,2026-09-11,6.160164271047228,1549,1155,5154,47047.52499999998,37047.52499999996,370.4752499999998,28.580508091705692,1.4798932125023976,1.5152020194611764,-12.879063709693497,2.219144864559868,365470.95999999996,10.13692715831648,4.462337662337663,7.18811117578579,70.91015909972836,50.66499999999999,80.89678696158323,59.39,43.88824214202561,39.076445479239425,17.03531237873496,53.10438494373302,69.65090427475337,-63.54447662391396,-162.73000000000002,203.79
veto_gex_cp_iv_veto20_gap_on,2020-07-14,2026-09-11,6.160164271047228,1549,1126,4587,51453.63000000001,41453.62999999999,414.53630000000015,30.46275152858371,1.5221510364298072,1.5593079416420352,-16.817572090010277,1.8113644089374077,359025.23000000004,11.546160697397223,4.073712255772646,9.03719860475256,78.27016132548508,55.05,86.32717898408545,62.38,46.0213647264007,38.28210159145411,15.696533682145192,54.32744713320253,75.87353531300161,-70.46454415274465,-162.73000000000002,203.79
delta_stack_minus_base,2020-07-14,2026-09-11,0.0,0,-29,-567,4406.105000000032,4406.105000000032,44.061050000000364,1.8822434368780172,0.04225782392740962,0.04410592218085885,-3.9385083803167795,-0.40778045562246046,-6445.729999999923,1.4092335390807431,-0.38862540656501654,1.8490874289667696,7.360002225756716,4.385000000000005,5.430392022502218,2.990000000000002,2.133122584375087,-0.7943438877853168,-1.3387786965897686,1.2230621894695162,6.222631038248238,-6.9200675288306925,0.0,0.0
