book,period,n,days,pnl,total_return,cagr,daily_sharpe,weekly_sharpe,max_dd,calmar,yield_pct,full_win,profitable,loss,pnl_per_trade
base,2020-2025,4563,1035,32643.089999999967,326.43089999999984,30.39370516025994,1.4826350891900624,1.5187607754570707,-12.879063709693497,2.3599312687135754,10.148598854908663,44.093797939951784,53.18869165023011,39.25049309664694,7.1538658777120245
base,2026,593,120,4591.334999999992,45.913349999999944,72.91796492257158,2.7953721282617967,2.9740157768595314,-3.9898564684387656,18.27583661201338,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813
base,ALL,5156,1155,37234.42499999996,372.3442499999998,28.663289711134322,1.483034515613919,1.5185005374779363,-12.879063709693497,2.225572476170045,10.183594431398207,43.9100077579519,53.12257564003103,39.061287820015515,7.2215719550038715
min_gex_skewterm_parity_balance_veto15,2020-2025,3891,1001,33461.549999999996,334.61549999999977,30.848123603290787,1.4157583745318714,1.447650505838558,-17.302867849678435,1.7828329888021472,10.746402650981969,45.695194037522484,54.38190696479054,38.52480082241069,8.599730146491904
min_gex_skewterm_parity_balance_veto15,2026,544,120,5029.979999999999,50.29979999999998,80.50296971572142,2.9954685674751738,3.2192613180597913,-4.260788897914225,18.89391181880188,11.750453024982773,44.48529411764706,53.49264705882353,37.13235294117647,9.24628676470588
min_gex_skewterm_parity_balance_veto15,ALL,4435,1121,38491.53,384.91529999999983,29.21306521483471,1.4210309935695387,1.4525467610494507,-17.302867849678435,1.6883366080483369,10.867753199267087,45.5467869222097,54.2728297632469,38.35400225479143,8.679037204058623
