book,period,n,days,pnl,final,total_return,cagr,daily_sharpe,weekly_sharpe,max_dd,calmar,wagered,yield_pct,full_win,profitable,loss,pnl_per_trade
base,2020-2025,4561,1035,32456.189999999966,42456.18999999999,324.56189999999987,30.288937825974216,1.4788951078321915,1.5148339938203068,-12.879063709693497,2.351796567570132,321490.7,10.09552997956083,44.06928305196229,53.168164876123654,39.26770445077834,7.116024994518739
veto_gex_cp_iv_veto20,2020-2025,4014,1006,38500.53,48500.53,385.0053,33.501277808166876,1.5646387256058698,1.6048050054843677,-16.817572090010277,1.9920400893103234,314542.17,12.240180704545912,46.512207274539115,54.733432984554064,38.14150473343298,9.591562032884903
base,2026,593,120,4591.334999999992,14591.334999999994,45.913349999999944,72.91796492257158,2.7953721282617967,2.9740157768595314,-3.9898564684387656,18.27583661201338,43980.259999999995,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813
veto_gex_cp_iv_veto20,2026,573,120,2953.099999999995,12953.099999999995,29.530999999999953,45.504023446145084,2.109982762613184,2.182383718585367,-6.929326261848176,6.566875584525925,44483.06,6.638706959458263,42.582897033158815,51.48342059336824,39.26701570680628,5.153752181500864
