name,rule,is_n,is_pnl,is_fw,is_prof,oot_n,oot_pnl,oot_fw,oot_prof,d_is_n,d_is_pnl,d_is_fw,d_is_prof,d_oot_n,d_oot_pnl,d_oot_fw,d_oot_prof
avg_gex_parity_balance_wf,veto0.03,4553,32850.47499999996,0.44278497693828245,0.5332747638919394,591,4676.024999999992,0.428087986463621,0.5296108291032149,-10,207.38499999999476,0.0018469975387646054,0.0013878473896382637,-2,84.69000000000051,0.0031301449796412584,0.0034725491706685263
avg_gex_parity_balance_wf,veto0.05,4538,33320.11499999997,0.44424856765094756,0.5341560158660202,590,4652.814999999991,0.4288135593220339,0.5305084745762711,-25,677.0250000000015,0.0033105882514297136,0.002269099363719107,-3,61.47999999999956,0.0038557178380541623,0.00437019464372479
avg_gex_parity_balance_wf,veto0.075,4526,34633.88999999997,0.44741493592576226,0.5368979231109147,590,4530.054999999991,0.42542372881355933,0.5288135593220339,-37,1990.800000000003,0.006476956526244415,0.005011006608613533,-3,-61.280000000000655,0.000465887329579584,0.002675279389487528
avg_gex_parity_balance_wf,veto0.1,4501,33525.83999999996,0.4456787380582093,0.5352143968007109,589,4213.0249999999905,0.4244482173174873,0.5280135823429541,-62,882.7499999999927,0.004740758658691446,0.0033274802984097906,-4,-378.3100000000013,-0.0005096241664924728,0.0018753024104077864
avg_gex_parity_balance_wf,veto0.125,4469,33789.664999999964,0.44618482882076527,0.5354665473260237,588,3759.9699999999884,0.4166666666666667,0.5204081632653061,-94,1146.574999999997,0.005246849421247424,0.0035796308237225904,-5,-831.3650000000034,-0.008291174817313063,-0.005730116667240215
avg_gex_parity_balance_wf,veto0.15,4445,34858.83999999995,0.4483689538807649,0.5379077615298088,585,4066.0899999999897,0.4205128205128205,0.5230769230769231,-118,2215.7499999999854,0.007430974481247077,0.00602084502750766,-8,-525.2450000000022,-0.00444502097115923,-0.003061356855623254
avg_gex_parity_balance_wf,veto0.175,4415,33742.25499999996,0.44620611551528877,0.5352208380520951,583,4188.25499999999,0.4236706689536878,0.5231560891938251,-148,1099.1649999999936,0.005268136115770927,0.00333392154979395,-10,-403.08000000000175,-0.0012871725302919246,-0.002982190738721302
avg_gex_parity_balance_wf,veto0.2,4378,33369.01999999998,0.4467793513019644,0.535175879396985,583,4562.384999999992,0.42710120068610635,0.5248713550600344,-185,725.9300000000148,0.005841371902446546,0.0032889628946838334,-10,-28.949999999999818,0.0021433592021266046,-0.0012669248725120097
avg_gex_parity_balance_wf,veto0.225,4340,33746.374999999985,0.4483870967741935,0.5370967741935484,580,4097.654999999993,0.4241379310344828,0.5189655172413793,-223,1103.285000000018,0.0074491173746756845,0.005209857691247266,-13,-493.6799999999985,-0.0008199104494969744,-0.007172762691167067
avg_gex_parity_balance_wf,veto0.25,4308,34327.03499999999,0.44986072423398327,0.5396935933147632,579,3349.0649999999937,0.41450777202072536,0.5112262521588946,-255,1683.9450000000215,0.008922744834465424,0.0078066768124620545,-14,-1242.2699999999982,-0.010450069463254386,-0.014912027773651748
avg_gex_parity_balance_wf,tilt0.05,4563,32254.189999999973,0.44049967126890205,0.5316677624369932,593,4662.644999999992,0.42495784148397975,0.5261382799325464,0,-388.8999999999942,-0.0004383081306157943,-0.00021915406530792492,0,71.3100000000004,0.0,0.0
avg_gex_parity_balance_wf,tilt0.1,4563,32198.774999999972,0.44093797939951784,0.5321060705676091,593,4746.344999999992,0.42495784148397975,0.5261382799325464,0,-444.31499999999505,0.0,0.00021915406530792492,0,155.01000000000022,0.0,0.0
avg_gex_parity_balance_wf,tilt0.2,4563,33018.949999999975,0.4418145956607495,0.5329826868288406,593,4869.894999999993,0.42495784148397975,0.5261382799325464,0,375.86000000000786,0.0008766162612316442,0.0010957703265395136,0,278.5600000000013,0.0,0.0
avg_gex_parity_balance_wf,tilt0.5,4563,32974.96499999998,0.4413762875301337,0.5342976112206882,593,4487.684999999991,0.418212478920742,0.5193929173693086,0,331.87500000001455,0.00043830813061584983,0.002410694718387063,0,-103.65000000000055,-0.006745362563237767,-0.006745362563237767
