n,pnl,full_win,profitable,days,stack,overlay,year
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_cp_iv,veto_bottom20,2020
804.0,11335.755000000001,0.5099502487562189,0.5758706467661692,189.0,veto_gex_cp_iv,veto_bottom20,2021
787.0,536.7349999999899,0.4332909783989835,0.5057179161372299,192.0,veto_gex_cp_iv,veto_bottom20,2022
486.0,190.6999999999971,0.41358024691358025,0.4876543209876543,165.0,veto_gex_cp_iv,veto_bottom20,2023
824.0,13117.14499999999,0.48058252427184467,0.5776699029126213,192.0,veto_gex_cp_iv,veto_bottom20,2024
758.0,8675.125000000005,0.4736147757255937,0.5620052770448549,187.0,veto_gex_cp_iv,veto_bottom20,2025
573.0,2953.099999999995,0.4258289703315881,0.5148342059336823,120.0,veto_gex_cp_iv,veto_bottom20,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_skewterm,veto_bottom20,2020
815.0,11740.05,0.49570552147239266,0.5791411042944785,190.0,veto_gex_skewterm,veto_bottom20,2021
792.0,1185.7249999999947,0.4305555555555556,0.5088383838383839,192.0,veto_gex_skewterm,veto_bottom20,2022
561.0,808.2799999999924,0.4028520499108734,0.48663101604278075,175.0,veto_gex_skewterm,veto_bottom20,2023
864.0,10676.26499999998,0.44907407407407407,0.5520833333333334,195.0,veto_gex_skewterm,veto_bottom20,2024
801.0,7221.55500000001,0.44569288389513106,0.5530586766541823,188.0,veto_gex_skewterm,veto_bottom20,2025
565.0,4947.439999999992,0.4265486725663717,0.5292035398230088,120.0,veto_gex_skewterm,veto_bottom20,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_cp_iv,veto_bottom10,2020
837.0,10993.0,0.4994026284348865,0.5710872162485066,192.0,veto_gex_cp_iv,veto_bottom10,2021
836.0,2375.7449999999885,0.4437799043062201,0.5179425837320574,194.0,veto_gex_cp_iv,veto_bottom10,2022
553.0,93.91999999998984,0.4177215189873418,0.4936708860759494,172.0,veto_gex_cp_iv,veto_bottom10,2023
