signal,status,year,coverage,raw_spearman,wf_spearman,wf_sign,note
oi_pressure_change,backtested,2026.0,0.5397790055248619,-0.030710554126209197,0.030710554126209197,-1.0,daily change in call OI minus put OI near 20-60 delta
atm_term_inversion,backtested,2020.0,0.16694701429772918,-0.04441163196448294,,0.0,front ATM IV minus next-expiry ATM IV
atm_term_inversion,backtested,2021.0,0.1790345258553351,-0.021396211914693458,0.021396211914693458,-1.0,front ATM IV minus next-expiry ATM IV
atm_term_inversion,backtested,2022.0,0.10486891385767791,0.06560448611755429,-0.06560448611755429,-1.0,front ATM IV minus next-expiry ATM IV
atm_term_inversion,backtested,2023.0,0.11798197058358374,0.08632815905610962,-0.08632815905610962,-1.0,front ATM IV minus next-expiry ATM IV
atm_term_inversion,backtested,2024.0,0.1309328968903437,0.07330796668103869,-0.07330796668103869,-1.0,front ATM IV minus next-expiry ATM IV
atm_term_inversion,backtested,2025.0,0.12288466545170529,0.13886283571630204,-0.13886283571630204,-1.0,front ATM IV minus next-expiry ATM IV
atm_term_inversion,backtested,2026.0,0.23904235727440148,-0.03293338367831339,-0.03293338367831339,1.0,front ATM IV minus next-expiry ATM IV
skew_term_structure,backtested,2020.0,0.16400336417157274,-0.03393739521823196,,0.0,front 25d skew minus next-expiry 25d skew
skew_term_structure,backtested,2021.0,0.1659115763162006,-0.012404455629467279,0.012404455629467279,-1.0,front 25d skew minus next-expiry 25d skew
skew_term_structure,backtested,2022.0,0.10323033707865169,0.02474575287031445,-0.02474575287031445,-1.0,front 25d skew minus next-expiry 25d skew
skew_term_structure,backtested,2023.0,0.11149770678475407,-0.03312934498638293,0.03312934498638293,-1.0,front 25d skew minus next-expiry 25d skew
skew_term_structure,backtested,2024.0,0.1239398898973367,0.04017934220462995,-0.04017934220462995,-1.0,front 25d skew minus next-expiry 25d skew
skew_term_structure,backtested,2025.0,0.11936995574069253,-0.06029345945074979,,0.0,front 25d skew minus next-expiry 25d skew
skew_term_structure,backtested,2026.0,0.22596685082872928,-0.0011742397843664215,0.0011742397843664215,-1.0,front 25d skew minus next-expiry 25d skew
smile_slope,backtested,2020.0,1.0,-0.12515393428845706,,0.0,quadratic smile c1 from canon fit
smile_slope,backtested,2021.0,1.0,-0.1293002754123503,0.1293002754123503,-1.0,quadratic smile c1 from canon fit
smile_slope,backtested,2022.0,1.0,-0.026575852832915737,0.026575852832915737,-1.0,quadratic smile c1 from canon fit
smile_slope,backtested,2023.0,1.0,-0.008895880564956596,0.008895880564956596,-1.0,quadratic smile c1 from canon fit
smile_slope,backtested,2024.0,1.0,-0.1045785947060426,0.1045785947060426,-1.0,quadratic smile c1 from canon fit
smile_slope,backtested,2025.0,1.0,-0.05697482488452192,0.05697482488452192,-1.0,quadratic smile c1 from canon fit
smile_slope,backtested,2026.0,1.0,0.04583013331518548,-0.04583013331518548,-1.0,quadratic smile c1 from canon fit
iv_price_residual,backtested,2020.0,0.6417157275021026,0.07700661214249292,,0.0,ATM IV change residual after same-day stock return
iv_price_residual,backtested,2021.0,0.6200593657241056,-0.024802907907572273,-0.024802907907572273,1.0,ATM IV change residual after same-day stock return
iv_price_residual,backtested,2022.0,0.6741573033707865,0.03204242505441678,0.03204242505441678,1.0,ATM IV change residual after same-day stock return
iv_price_residual,backtested,2023.0,0.6054088249248775,0.0025272532929202503,0.0025272532929202503,1.0,ATM IV change residual after same-day stock return
iv_price_residual,backtested,2024.0,0.6067549471804791,-0.028263203499068898,-0.028263203499068898,1.0,ATM IV change residual after same-day stock return
iv_price_residual,backtested,2025.0,0.6477479822962771,-0.002890959277223959,-0.002890959277223959,1.0,ATM IV change residual after same-day stock return
iv_price_residual,backtested,2026.0,0.676427255985267,0.06677343258296077,0.06677343258296077,1.0,ATM IV change residual after same-day stock return
earnings_event_skew,not_backtested,,,,,,local earnings calendar lacks 2020-2025 coverage
live_volume_flow,live_only,,,,,,"requires live option volume history, absent in backtest"
live_quote_size_imbalance,live_only,,,,,,"requires live bid/ask sizes, absent in backtest"
