col,rule,is_n,is_pnl,is_fw,is_prof,is_sh,is_dd,is_calmar,is_yld,oot_n,oot_pnl,oot_fw,oot_prof,oot_sh,oot_dd,oot_calmar,oot_yld,d_is_n,d_is_pnl,d_is_fw,d_is_prof,d_is_sh,d_is_dd,d_is_calmar,d_is_yld,d_oot_n,d_oot_pnl,d_oot_fw,d_oot_prof,d_oot_sh,d_oot_dd,d_oot_calmar,d_oot_yld
sig_skew25_bull_signed,veto0.02,4550,32963.214999999975,0.44241758241758244,0.5327472527472528,1.527265357469279,-13.092928891911267,2.3350225151667625,10.237341539716802,592,4371.404999999992,0.4239864864864865,0.5253378378378378,2.73319714682277,-3.9680734536757045,17.427390680912378,9.88949943770134,-13,320.1250000000073,0.0014796030180646014,0.0008603362449516316,0.008504582012208273,-0.21386518221776996,-0.02490875354681288,0.08874268480813896,-1,-219.9300000000003,-0.0009713549974932345,-0.0008004420947085311,-0.2408186300367614,0.021783014763061104,-0.8484459311010006,-0.550036390417894
sig_skew25_bull_signed,veto0.03,4544,33245.59999999997,0.4434419014084507,0.5327904929577465,1.5348379311647713,-13.27642768340179,2.314546503492877,10.32911999629655,591,4036.449999999992,0.4263959390862944,0.5245346869712352,2.524173482456941,-4.604067597876487,13.785418900773136,9.079588476866371,-19,602.510000000002,0.0025039220089328462,0.0009035764554453651,0.01607715570770063,-0.397363973708293,-0.04538476522069823,0.18052114138788689,-2,-554.8849999999998,0.0014380976023146697,-0.0016035929613111843,-0.4498422944025906,-0.614211129437721,-4.490417711240243,-1.3599473512528633
sig_skew25_bull_signed,veto0.04,4539,33351.049999999974,0.44415069398545937,0.5333773959021811,1.5396035811554751,-13.172943881865756,2.337152834797888,10.375200548490177,591,4143.754999999992,0.4263959390862944,0.5245346869712352,2.5603458887423307,-4.681347290093151,13.945429077229138,9.29596198480521,-24,707.9600000000064,0.003212714585941523,0.001490479399880007,0.020842805698404465,-0.29388017217225837,-0.022778433915687568,0.2266016935815145,-2,-447.5799999999999,0.0014380976023146697,-0.0016035929613111843,-0.41366988811720073,-0.6914908216543854,-4.330407534784241,-1.1435738433140248
sig_skew25_bull_signed,veto0.05,4534,33304.88999999996,0.4444199382443758,0.5339655932951036,1.5379092968713168,-13.41132153508354,2.293710455585166,10.359970422738881,591,3967.794999999992,0.428087986463621,0.5228426395939086,2.486473024890301,-4.704945318814482,13.243807751249923,8.910324226352774,-29,661.7999999999956,0.0034819588448579686,0.002078676792802492,0.019148521414246167,-0.5322578253900421,-0.06622081312840944,0.21137156783021815,-2,-623.54,0.0031301449796412584,-0.0032956403386377175,-0.48754275196923036,-0.7150888503757162,-5.032028860763456,-1.5292116017664608
sig_skew25_bull_signed,veto0.06,4529,33791.579999999965,0.44446897769927135,0.5347758887171561,1.5564892249703446,-12.879063709693497,2.409288783315527,10.52028519069327,591,3920.834999999991,0.4263959390862944,0.5211505922165821,2.5062931393571706,-4.643447079428585,13.249005862385536,8.775174856241975,-34,1148.489999999998,0.003530998299753507,0.002888972214854957,0.03772844951327392,0.0,0.04935751460195181,0.37168633578460764,-2,-670.5000000000009,0.0014380976023146697,-0.004987687715964251,-0.46772263750236087,-0.6535906109898191,-5.026830749627843,-1.6643609718772598
sig_skew25_bull_signed,veto0.07,4526,33131.44499999997,0.44365885992045956,0.5344675209898365,1.5281908461377653,-12.879063709693497,2.3810499371478375,10.31859169979782,590,4177.004999999992,0.4271186440677966,0.5220338983050847,2.7390018289168716,-4.613298829047924,14.273272690601454,9.370499271807397,-37,488.3550000000032,0.0027208805209417153,0.0025806044875353873,0.00943007068069468,0.0,0.021118668434262133,0.16999284488915656,-3,-414.3299999999999,0.0021608025838168454,-0.0041043816274616285,-0.23501394794265984,-0.6234423606091584,-4.002563921411925,-1.069036556311838
sig_skew25_bull_signed,veto0.08,4525,31634.83499999997,0.4422099447513812,0.5323756906077348,1.4720185412217237,-13.078354500123815,2.280409911096395,9.86419426605287,590,3919.204999999991,0.42542372881355933,0.5186440677966102,2.5882490350811675,-4.613298829047924,13.32964729794006,8.80450549640636,-38,-1008.2549999999974,0.0012719653518633578,0.0004887741054336869,-0.04674223423534696,-0.19929079043031805,-0.07952135761718049,-0.2844045888557929,-3,-672.130000000001,0.000465887329579584,-0.007494212135936151,-0.3857667417783639,-0.6234423606091584,-4.946189314073319,-1.6350303317128745
sig_skew25_bull_signed,veto0.09,4519,31018.94999999997,0.4410267758353618,0.5315335251161761,1.459086604392678,-13.220638040651808,2.2291243067630577,9.68484050101356,590,4042.1749999999915,0.4271186440677966,0.5203389830508475,2.646185586356968,-4.613298829047924,13.778783613309583,9.101884224631604,-44,-1624.1399999999958,8.879643584397412e-05,-0.00035339138612500154,-0.059674171064392656,-0.341574330958311,-0.13080696195051766,-0.463758353895102,-3,-549.1600000000003,0.0021608025838168454,-0.00579929688169889,-0.32783019050256357,-0.6234423606091584,-4.497052998703795,-1.3376516034876307
sig_skew25_bull_signed,veto0.10,4512,30871.534999999974,0.4408244680851064,0.5316932624113475,1.4538723555425983,-14.139396236767077,2.078248262641376,9.645937638973715,590,4021.5749999999916,0.42542372881355933,0.5203389830508475,2.654369931148263,-4.919169753002411,12.851350154579048,9.05870104501423,-51,-1771.554999999993,-0.0001135113144114519,-0.00019365409095362107,-0.06488841991447236,-1.2603325270735795,-0.2816830060721993,-0.502661215934948,-3,-569.7600000000002,0.000465887329579584,-0.00579929688169889,-0.31964584571126853,-0.9293132845636451,-5.42448645743433,-1.380834783105005
sig_skew25_bull_signed,veto0.11,4503,30745.389999999978,0.4399289362647124,0.5309793471019321,1.4453945292449124,-14.964558073081887,1.9587621061627145,9.611129775302476,590,3970.884999999992,0.42542372881355933,0.5203389830508475,2.626546882574269,-4.919169753002411,12.677634812013995,8.934319264354144,-60,-1897.6999999999898,-0.0010090431348054318,-0.0009075694003690682,-0.07336624621215826,-2.0854943633883902,-0.4011691625508609,-0.5374690796061863,-3,-620.4499999999998,0.000465887329579584,-0.00579929688169889,-0.3474688942852624,-0.9293132845636451,-5.598201799999384,-1.5052165637650905
sig_skew25_bull_signed,veto0.12,4498,31264.99499999997,0.4406402845709204,0.5315695864828813,1.458564518665462,-15.67762440009618,1.8888199992797614,9.787510652313186,589,3464.9849999999933,0.4227504244482173,0.5178268251273345,2.304629147239971,-4.960296836137223,10.868642041256901,7.805690406731154,-65,-1378.0949999999975,-0.0002976948285974279,-0.00031733001941980366,-0.06019625679160856,-2.7985606904026827,-0.471111269433814,-0.3610882025954769,-4,-1126.3499999999985,-0.002207417035762438,-0.008311454805211893,-0.6693866296195603,-0.9704403676984574,-7.407194570756477,-2.633845421388081
sig_skew25_bull_signed,veto0.13,4497,31250.634999999973,0.4402935290193462,0.5310206804536357,1.4616330382171387,-15.288797607622667,1.9363167989065082,9.793229791070303,588,3288.444999999993,0.4200680272108844,0.5153061224489796,2.143802825624656,-4.870551666106493,10.470171733123296,7.415704010929,-66,-1392.4549999999945,-0.000644450380171635,-0.0008662360486654253,-0.05712773723993192,-2.4097338979291703,-0.4236144698070672,-0.35536906383836,-5,-1302.889999999999,-0.004889814273095372,-0.010832157483566807,-0.8302129512348753,-0.8806951976677277,-7.805664878890083,-3.023831817190235
sig_skew25_bull_signed,veto0.14,4488,30058.099999999973,0.43894830659536543,0.5296345811051694,1.424876268959618,-15.425506954620616,1.8741741282875979,9.427893322948396,588,3354.2449999999926,0.4200680272108844,0.5170068027210885,2.216805929211469,-4.845219359851667,10.748823563615534,7.565985507030602,-75,-2584.9899999999943,-0.001989672804152409,-0.002252335397131766,-0.09388450649745272,-2.5464432449271186,-0.4857571404259775,-0.7207055319602667,-5,-1237.0899999999992,-0.004889814273095372,-0.009131477211457906,-0.7572098476480624,-0.8553628914129012,-7.527013048397844,-2.873550321088633
