apply_side,score_col,rule,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,is_bp_n,oot_bp_n,is_bc_n,oot_bc_n,all_pos,score
bull_put,avg_r_side_local_gex_wf_r_side_parity_balance_wf,v0.25,4375,580,-188,-13,33233.594999999994,5330.039999999993,590.5050000000265,738.7050000000008,0.4416,0.43448275862068964,0.0006620206004821494,0.009524917136709887,0.5323428571428571,0.5396551724137931,0.00045594064055598515,0.013516892481246767,10.984813378194206,12.294186369701617,0.8362145232855429,1.854650541582382,1.649497373126477,4.207081722876601,0.11730627333869403,1.0165150000176872,-12.905466065424498,-5.905013130102999,0.3568046694819582,0.35321459463926175,3.349247518630399,24.600793490612446,0.15605284433761257,5.2493872379529165,43.22360019639182,145.26800857301888,0.8745879166594435,24.16250144987427,3104,441,1271,139,True,9.597544201957545
bear_call,min_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.08,4503,588,-60,-5,33688.27499999997,5553.579999999993,1045.185000000005,962.2450000000008,0.44370419720186544,0.43197278911564624,0.0027662178023475925,0.0070149476316664905,0.5334221630024428,0.5340136054421769,0.001535246500141696,0.007875325509630549,10.449576582816583,12.711408379040094,0.3009777279079202,2.2718725509208593,1.5490270034900493,3.4501184675506855,0.016835903702266286,0.2595517446917719,-13.305480061133245,-6.512590869438794,-0.04320932622678875,-0.25436314469653354,3.2573236553630123,23.46820685182298,0.06412898107022569,4.116800599163451,43.340254949090216,152.8388296652833,0.9912426693578382,31.733322542138694,3459,476,1044,112,True,8.92524969401455
bear_call,min_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.07,4506,589,-57,-4,33771.56499999997,5503.8699999999935,1128.4750000000058,912.5350000000017,0.44385264092321347,0.4312393887945671,0.0029146615236956275,0.006281547310587332,0.5341766533510874,0.533106960950764,0.0022897368487863057,0.006968681018217682,10.476947688173322,12.583685543098067,0.32834883326465913,2.144149714978832,1.5536861703424572,3.41699118659066,0.021495070554674145,0.22642446373174652,-12.879063709693494,-6.537791498722623,0.3832070252129629,-0.27956377398036203,3.370348751136646,23.118637753368716,0.17715407684385953,3.7672315007091868,43.40693628977477,151.14483336602186,1.0579240100423917,30.03932624287725,3450,476,1056,113,True,8.636265914964564
bear_call,avg_r_side_local_gex_wf_r_side_parity_balance_wf,v0.04,4535,592,-28,-1,34862.48499999997,5015.784999999993,2219.395000000004,424.4500000000007,0.4429988974641676,0.42736486486486486,0.0020609180646497527,0.0024070233808851094,0.5336273428886439,0.5304054054054054,0.0017404263863427527,0.0042671254728590124,10.797351746450902,11.423693245201301,0.6487528915422391,0.9841574170820664,1.6217292643641879,3.357194525427076,0.08953816457640484,0.16662780256816223,-12.901503362752464,-6.716562931590819,0.3607673721539921,-0.45833520684855866,3.419632139699626,20.0740387790971,0.2264374654068395,0.7226325264375717,44.11839554971113,134.8285447510002,1.7693832699787535,13.723037627855604,3436,472,1099,120,True,6.499168250388248
bear_call,avg_r_side_local_gex_wf_r_side_parity_balance_wf,v0.06,4525,589,-38,-4,34698.41499999998,4989.169999999992,2055.3250000000116,397.83500000000004,0.4424309392265193,0.42784380305602715,0.0014929598270014832,0.002885961572047402,0.5334806629834254,0.5297113752122241,0.001593746481124314,0.0035730952796777515,10.76072997676258,11.436595077870018,0.6121311218539169,0.9970592497507837,1.6062214456925905,3.251461512487802,0.0740303459048075,0.06089478962888828,-13.00376252871983,-6.719044212242875,0.25850820618662596,-0.46081648750061444,3.386763329369634,19.936663273087095,0.1935686550768474,0.5852570204275658,44.040666076099264,133.95532197647094,1.6916537963668858,12.849814853326336,3447,473,1078,116,True,6.026520246803613
all,r_side_parity_balance_wf,v0.01,4538,589,-25,-4,34269.26499999997,4805.9899999999925,1626.175000000003,214.65500000000065,0.44424856765094756,0.4295415959252971,0.0033105882514297136,0.004583754441317367,0.5345967386513882,0.5280135823429541,0.0027098221490871044,0.0018753024104077864,10.678770218037922,10.861558905886616,0.5301713631292593,0.42202307776738124,1.6160979493259067,3.459810774211535,0.08390684953812366,0.2692440513526213,-12.879063709693494,-6.207917575987077,0.3832070252129629,0.0503101487551838,3.3893817071434285,20.617460623911352,0.19618703285064187,1.2660543712518226,43.65206294276991,127.99149617940077,1.3030506630375314,6.8859890562561645,3376,460,1162,129,True,5.471323406491419
all,avg_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.01,4535,589,-28,-4,33736.16999999997,4862.549999999993,1093.0800000000017,271.21500000000106,0.4429988974641676,0.4312393887945671,0.0020609180646497527,0.006281547310587332,0.533406835722161,0.533106960950764,0.0015199192198598332,0.006968681018217682,10.433487317420294,10.99889028275847,0.28488846251163125,0.5593544546392355,1.5851062052243834,3.352197657930066,0.052915105436600385,0.16163093507115223,-13.265776605853407,-5.740398982692785,-0.003505870946950651,0.5178287420494758,3.2586817676247994,22.615905927898666,0.06548709333201286,3.2644996752391364,43.228944358878095,129.82432338118522,0.8799320791457177,8.718816258040619,3394,466,1141,123,True,5.378151394942349
bear_call,avg_r_side_oi_wall_wf_r_veto_gex_skewterm_wf,v0.06,4485,590,-78,-3,34330.10499999997,4880.764999999992,1687.0149999999994,289.4300000000003,0.442809364548495,0.4288135593220339,0.0018713851489771671,0.0038557178380541623,0.5331103678929766,0.5305084745762711,0.0012234513906754785,0.00437019464372479,10.604995373109956,11.105583207713511,0.45639651820129323,0.6660473795942767,1.5745050247211467,3.2661001215624914,0.04231392493336372,0.07553339870357778,-13.371999540121148,-6.118069427198602,-0.10972880521469186,0.1401582975436586,3.283157539373953,21.31656378308126,0.08996286508116658,1.965157530421731,43.902381106653785,130.41621717419844,1.5533688269214068,9.310710051053832,3473,469,1012,121,True,5.313707442053949
all,avg_r_side_oi_wall_wf_r_veto_gex_skewterm_wf,v0.06,4472,590,-91,-3,33530.509999999966,5070.1049999999905,887.4199999999983,478.7699999999986,0.4418604651162791,0.4288135593220339,0.0009224857167612344,0.0038557178380541623,0.5333184257602862,0.5322033898305085,0.0014315092579850752,0.006065109897962162,10.35310178596162,11.492698320876723,0.20450293105295714,1.0531624927574885,1.5454266570711874,3.3896767765162683,0.01323555728340442,0.19911005365735468,-13.50775414911265,-6.035365876581267,-0.24548341420619302,0.22286184816099386,3.202870364772583,22.635917058541917,0.00967569047979655,3.2845108058823875,43.2635854588268,136.6160414002477,0.9145731790944254,15.51053427710309,3456,468,1016,122,True,5.184982986127113
bear_call,r_veto_gex_skewterm_wf,v0.08,4512,590,-51,-3,34224.33499999998,4797.209999999992,1581.24500000001,205.875,0.4441489361702128,0.4288135593220339,0.0032109567706949393,0.0038557178380541623,0.5347960992907801,0.5288135593220339,0.002909182788478959,0.002675279389487528,10.556989246714792,10.969308774011013,0.40839039180612957,0.5297729458917786,1.580159655147279,3.237547661294639,0.04796855535949596,0.04698093843572515,-13.388001002371475,-6.161148808281713,-0.12573026746501803,0.09707891646054723,3.2654043444581937,20.72789886954281,0.07220967016540714,1.3764926168832794,43.717236636754464,127.70766941826754,1.3682243570220862,6.6021622951229375,3454,470,1058,120,True,5.070324085392044
