col,rule,is_n,is_pnl,is_fw,is_prof,is_loss,is_yld,is_sh,is_dd,is_calmar,is_cagr,oot_n,oot_pnl,oot_fw,oot_prof,oot_loss,oot_yld,oot_sh,oot_dd,oot_calmar,oot_cagr,d_is_n,d_is_pnl,d_is_fw,d_is_prof,d_is_loss,d_is_yld,d_is_sh,d_is_dd,d_is_calmar,d_is_cagr,d_oot_n,d_oot_pnl,d_oot_fw,d_oot_prof,d_oot_loss,d_oot_yld,d_oot_sh,d_oot_dd,d_oot_calmar,d_oot_cagr
veto_gex_skewterm,veto0.030,4499,33008.564999999966,0.4427650589019782,0.5318959768837519,0.3951989330962436,10.042761020758833,1.4999328871467883,-15.227692764770214,2.009332227332489,30.597493820170563,591,4693.9899999999925,0.4263959390862944,0.5296108291032149,0.37225042301184436,10.541211756867112,2.970796622317333,-3.915210393170079,19.075348522646266,74.68400278920618,-64,365.47499999999854,0.0018270795024603603,9.060381450765043e-06,0.0026940021297741645,-0.10583783414982939,-0.01882788831028237,-2.3486290550767173,-0.35059904138108644,0.20378865991062156,-2,102.65500000000065,0.0014380976023146697,0.0034725491706685263,-0.0038035398886615557,0.10167592874787701,-0.0032191545421982326,0.07464607526868683,0.7995119106328872,1.7660378666345906
veto_gex_skewterm,veto0.035,4490,33183.61499999996,0.44387527839643653,0.532739420935412,0.39532293986636974,10.077996348141706,1.4950557250852696,-15.270015830312744,2.0101224004403484,30.69460087559037,591,4710.729999999992,0.4263959390862944,0.5296108291032149,0.37225042301184436,10.582782840576309,2.9803608624264455,-3.915210393170079,19.149039542213497,74.97251863489909,-73,540.5249999999942,0.0029372989969186913,0.0008525044331109122,0.002818008899900304,-0.07060250676695645,-0.02370505037180104,-2.3909521206192466,-0.349808868273227,0.30089571533043014,-2,119.39500000000044,0.0014380976023146697,0.0034725491706685263,-0.0038035398886615557,0.14324701245707416,0.006345085566914044,0.07464607526868683,0.8732029302001187,2.054553712327504
veto_gex_skewterm,veto0.040,4486,32906.31999999996,0.44337940258582254,0.5320998662505573,0.3958983504235399,9.970325344980465,1.4750481105097948,-15.534584603118251,1.965976293024837,30.54062505171913,591,4780.2399999999925,0.428087986463621,0.5313028764805414,0.37055837563451777,10.731588168367004,3.048600742203233,-3.915210393170079,19.455431917461187,76.1721092468569,-77,263.2299999999959,0.002441423186304692,0.00021294974825614155,0.0033934194570704457,-0.17827350992819824,-0.04371266494727588,-2.655520893424754,-0.3939549756887384,0.14691989145918782,-2,188.90500000000065,0.0031301449796412584,0.0051645965479950595,-0.005495587265988144,0.2920523402477695,0.07458496534370163,0.07464607526868683,1.1795953054478083,3.2541443242853205
veto_gex_skewterm,veto0.045,4477,32446.779999999966,0.44248380612016974,0.5320527138708957,0.3962474871565781,9.803327250135212,1.4606809905324025,-15.579776317117163,1.9437797084425448,30.283653067286064,589,4726.769999999991,0.4295415959252971,0.533106960950764,0.37181663837011886,10.628951055649866,3.0018504154888173,-3.9104556350362487,19.243053848338977,75.24910835654313,-86,-196.3100000000013,0.0015458267206518994,0.00016579736859456684,0.003742556190108659,-0.3452716047734512,-0.05807978492466814,-2.7007126074236663,-0.4161515602710306,-0.11005209297387708,-4,135.4349999999995,0.004583754441317367,0.006968681018217682,-0.004237324530387054,0.18941522753063111,0.027834638629285813,0.07940083340251691,0.9672172363255989,2.3311434339715476
veto_gex_skewterm,veto0.050,4473,32473.21499999997,0.4422088084059915,0.5325285043594903,0.39593114241001565,9.793123483282956,1.4608386994175875,-15.26233835117427,1.9851805223507957,30.29849682027872,587,4935.084999999992,0.43100511073253833,0.534923339011925,0.3696763202725724,11.150476649247953,3.0836310093463166,-3.9104556350362487,20.16478833058528,78.8535101566504,-90,-169.87499999999636,0.0012708290064736838,0.000641587857189152,0.003426211443546212,-0.3554753716257064,-0.057922076039483184,-2.3832746414807726,-0.3747507463627797,-0.09520833998121958,-6,343.75,0.006047269248558584,0.008785059079378654,-0.0063776426279335,0.7109408211287178,0.10961523248678517,0.07940083340251691,1.888951718571903,5.935545234078816
veto_gex_skewterm,veto0.055,4470,32791.41999999997,0.44272930648769576,0.5331096196868009,0.39552572706935124,9.844541339143682,1.4748922555526123,-15.537038807653628,1.961544002179787,30.47658528478756,586,5051.674999999992,0.431740614334471,0.5341296928327645,0.36860068259385664,11.427153767991216,3.135325131002584,-3.911566521859576,20.67732438328317,80.88072981928116,-93,148.33000000000175,0.0017913270881779186,0.001222703184499796,0.0030207961028818064,-0.3040575157649812,-0.04386851990445839,-2.657975097960131,-0.3983872665337884,0.08288012452761961,-7,460.34000000000015,0.0067827728504912255,0.007991412900218098,-0.007453280306649268,0.9876179398719813,0.16130935414305236,0.07828994657918953,2.4014877712697924,7.962764896709572
veto_gex_skewterm,veto0.060,4468,32923.61999999997,0.4431512981199642,0.5333482542524619,0.39547896150402867,9.865273223189813,1.484025147618856,-15.401334404541025,1.9836109198426886,30.55025510499647,585,5008.454999999992,0.4324786324786325,0.5333333333333333,0.36923076923076925,11.362533996027086,3.094180838506998,-3.911566521859576,20.48499274032687,80.12841180359904,-95,280.5300000000061,0.0022133187204463334,0.0014613377501607738,0.0029740305375592357,-0.2833256317188493,-0.03473562783821471,-2.5222706948475277,-0.37632034887088683,0.15654994473652906,-8,417.1199999999999,0.0075207909946527485,0.007195053400786966,-0.00682319366973666,0.9229981679078509,0.12016506164746676,0.07828994657918953,2.2091561283134915,7.210446881027451
veto_gex_skewterm,veto0.065,4465,32601.49999999997,0.4430011198208287,0.5332586786114222,0.39529675251959684,9.754932948843077,1.4690233182937178,-16.28917899154581,1.864453959368335,30.370424265647088,585,5177.654999999992,0.4324786324786325,0.5333333333333333,0.36923076923076925,11.738190973913074,3.1294503239680096,-3.911566521859576,21.239358667148963,83.07916430818791,-98,-41.58999999999651,0.0020631404213108384,0.0013717621091210441,0.002791821553127405,-0.3936659060655856,-0.04973745716335287,-3.4101152818523133,-0.4954773093452405,-0.023280894612852876,-8,586.3199999999997,0.0075207909946527485,0.007195053400786966,-0.00682319366973666,1.2986551457938393,0.15543454710847815,0.07828994657918953,2.9635220551355843,10.161199385616328
veto_gex_skewterm,veto0.070,4457,33034.98499999997,0.44402064168723354,0.5344402064168723,0.39398698676239624,9.872791113282544,1.4906075947170503,-16.095138411236416,1.9019513785842785,30.612170689755878,585,5194.58499999999,0.4324786324786325,0.5333333333333333,0.36752136752136755,11.754170008971874,3.1361088394501,-3.911566521859576,21.31504875061539,83.37523110471194,-106,391.8950000000041,0.0030826622877156984,0.002553289914571155,0.0014820557959268066,-0.2758077416261191,-0.028153180740020378,-3.2160747015429187,-0.45797989012929685,0.218465529495937,-8,603.2499999999982,0.0075207909946527485,0.007195053400786966,-0.008532595379138364,1.3146341808526394,0.16209306259056877,0.07828994657918953,3.039212138602011,10.457266182140359
veto_gex_skewterm,veto0.075,4448,33890.11499999997,0.4453687050359712,0.5368705035971223,0.3918615107913669,10.119240013913078,1.5077096108623007,-16.413582269935024,1.893753877224551,31.0832850628336,585,5194.58499999999,0.4324786324786325,0.5333333333333333,0.36752136752136755,11.754170008971874,3.1361088394501,-3.911566521859576,21.31504875061539,83.37523110471194,-115,1247.0250000000015,0.004430725636453359,0.0049835870948211625,-0.0006434201751025492,-0.0293588409955845,-0.011051164594769958,-3.5345185602415263,-0.4661773914890244,0.6895799025736586,-8,603.2499999999982,0.0075207909946527485,0.007195053400786966,-0.008532595379138364,1.3146341808526394,0.16209306259056877,0.07828994657918953,3.039212138602011,10.457266182140359
veto_gex_skewterm,veto0.080,4441,33436.08499999997,0.4449448322449899,0.536590857914884,0.39270434586804776,9.971549425012018,1.4933092970425499,-17.81487343564809,1.7308060630754603,30.834090955341665,583,4960.594999999991,0.4288164665523156,0.5300171526586621,0.3704974271012007,11.240832229401473,2.9936464381003574,-3.928496007579601,20.18494147519554,79.29646199853357,-122,792.9950000000026,0.004006852845472031,0.0047039414125829015,0.00019941490157832087,-0.17704942989664474,-0.02545147841452078,-4.935809725954591,-0.6291252056381151,0.44038579508172404,-10,369.2599999999993,0.0038586250683358414,0.0038788727261157563,-0.005556535799305207,0.8012964012822383,0.01963066124082591,0.06136046085916469,1.9091048631821614,6.378497075961988
veto_gex_skewterm,veto0.085,4433,32897.48999999997,0.44394315362057296,0.535077825400406,0.39431536205729756,9.79695118250479,1.47591522698507,-17.831801238665037,1.7124298435381784,30.535708605131063,583,4992.974999999991,0.4288164665523156,0.5300171526586621,0.3704974271012007,11.284130541297438,2.941156027611409,-4.605896536165769,17.338468608164497,79.85919250476378,-130,254.40000000000146,0.003005174221055118,0.003190908898104916,0.001810431090828124,-0.35164767240387285,-0.04284554847200073,-4.952737528971539,-0.647501425175397,0.14200344487112204,-10,401.6399999999994,0.0038586250683358414,0.0038788727261157563,-0.005556535799305207,0.8445947131782034,-0.032859749248122405,-0.6160400677270035,-0.9373680038488814,6.941227582192198
