signal,year,coverage,spearman
parity_fwd_z,2020,0.9987384356602187,
parity_fwd_z,2021,0.9995313232307452,0.039292828414076546
parity_fwd_z,2022,0.9998829588014981,0.03685853760161948
parity_fwd_z,2023,0.9987347777953504,0.025720238863399397
parity_fwd_z,2024,0.9986609135545306,0.01736406620763057
parity_fwd_z,2025,0.9986982556625879,0.028085259050223018
parity_fwd_z,2026,0.6961325966850829,0.04363313593294827
parity_fwd_slope,2020,0.9987384356602187,
parity_fwd_slope,2021,0.9995313232307452,0.02012391430408873
parity_fwd_slope,2022,0.9998829588014981,0.011103006328670676
parity_fwd_slope,2023,0.9987347777953504,-0.004323880007919355
parity_fwd_slope,2024,0.9986609135545306,0.015708459167002777
parity_fwd_slope,2025,0.9986982556625879,0.011410524904182746
parity_fwd_slope,2026,0.6961325966850829,-0.02526839498259459
parity_fwd_iqr,2020,0.9987384356602187,
parity_fwd_iqr,2021,0.9995313232307452,-0.0004692341008812698
parity_fwd_iqr,2022,0.9998829588014981,
parity_fwd_iqr,2023,0.9987347777953504,-0.024143255596952462
parity_fwd_iqr,2024,0.9986609135545306,
parity_fwd_iqr,2025,0.9986982556625879,0.005495033640376248
parity_fwd_iqr,2026,0.6961325966850829,0.041770333208419795
parity_balance,2020,0.9987384356602187,
parity_balance,2021,0.9995313232307452,-0.009997507991506402
parity_balance,2022,0.9998829588014981,
parity_balance,2023,0.9987347777953504,0.005851276130036764
parity_balance,2024,0.9986609135545306,0.029525141277656132
parity_balance,2025,0.9986982556625879,0.030102617982058752
parity_balance,2026,0.6961325966850829,0.035242882713602056
parity_oi_balance,2020,0.9987384356602187,
parity_oi_balance,2021,0.9995313232307452,-0.044688860962763886
parity_oi_balance,2022,0.9998829588014981,-0.0382811725481733
parity_oi_balance,2023,0.9987347777953504,0.06727755459401558
parity_oi_balance,2024,0.9986609135545306,0.002381713354822468
parity_oi_balance,2025,0.9986982556625879,-0.027878502535959377
parity_oi_balance,2026,0.6961325966850829,0.05849157453918398
parity_fwd_z_chg,2020,0.5445752733389403,
parity_fwd_z_chg,2021,0.5367911263865021,0.013990432022854696
parity_fwd_z_chg,2022,0.5877808988764045,-0.025629331644571825
parity_fwd_z_chg,2023,0.5092519373715009,
parity_fwd_z_chg,2024,0.5192679660764767,
parity_fwd_z_chg,2025,0.562874251497006,0.01404521075021999
parity_fwd_z_chg,2026,0.41049723756906076,0.001977229665057158
parity_fwd_slope_chg,2020,0.5445752733389403,
parity_fwd_slope_chg,2021,0.5367911263865021,-0.012399846357118991
parity_fwd_slope_chg,2022,0.5877808988764045,-0.0044470025331714924
parity_fwd_slope_chg,2023,0.5092519373715009,
parity_fwd_slope_chg,2024,0.5192679660764767,-0.016357898524600508
parity_fwd_slope_chg,2025,0.562874251497006,0.01640719733489005
parity_fwd_slope_chg,2026,0.41049723756906076,-0.027282718735033743
parity_balance_chg,2020,0.5445752733389403,
parity_balance_chg,2021,0.5367911263865021,-0.012914362922535406
parity_balance_chg,2022,0.5877808988764045,-0.0004553314071074402
parity_balance_chg,2023,0.5092519373715009,
parity_balance_chg,2024,0.5192679660764767,
parity_balance_chg,2025,0.562874251497006,0.027332255446434438
parity_balance_chg,2026,0.41049723756906076,0.0275426496644141
