book,period,n,days,pnl,total_return,cagr,weekly_sharpe,max_dd,calmar,yield_pct,full_win,profitable,loss,pnl_per_trade
base,2020-2025,4561,1035,32456.189999999966,324.56189999999987,30.288937825974216,1.5148339938203068,-12.879063709693497,2.351796567570132,10.09552997956083,44.06928305196229,53.168164876123654,39.26770445077834,7.116024994518739
base,2026,593,120,4591.334999999992,45.913349999999944,72.91796492257158,2.9740157768595314,-3.9898564684387656,18.27583661201338,10.439535828119235,42.49578414839797,52.61382799325464,37.60539629005059,7.742554806070813
parity_balance_veto05,2020-2025,4369,1024,38079.97499999997,380.7997499999996,33.28869156034679,1.6660285272543578,-12.879063709693497,2.5847136337474503,12.022893966782808,45.639734493019,54.58915083543145,37.88052185854887,8.715947585259778
parity_balance_veto05,2026,586,120,2827.624999999991,28.276249999999912,43.465573092426894,1.875766532650001,-6.800697434752767,6.391340521975014,6.316902591524555,42.15017064846416,51.70648464163823,38.907849829351534,4.825298634812271
parity_balance_chg_veto20,2020-2025,4411,1031,36841.66999999998,368.41669999999993,32.65379409169318,1.6644834940399225,-12.879063709693497,2.535416768465562,11.742300568105247,44.63840399002494,53.72931308093403,38.67603717977783,8.352226252550437
parity_balance_chg_veto20,2026,579,120,3651.5199999999923,36.51519999999992,57.011693972390674,2.574667061899841,-4.950214323986433,11.517015272679926,8.273494420321558,42.141623488773746,51.29533678756477,38.34196891191709,6.306597582037983
parity_fwd_z_veto05,2020-2025,4289,1022,35452.13999999998,354.5213999999995,31.924821000335267,1.5548738206992234,-12.879063709693497,2.4788153642183537,11.185100087036588,46.304499883422714,54.581487526229886,37.58451853578923,8.265828864537182
parity_fwd_z_veto05,2026,582,120,3335.3149999999923,33.35314999999994,51.76804772196453,2.381322612305563,-5.003839448916823,10.34566521377314,7.475361652304552,42.439862542955325,51.71821305841925,38.48797250859107,5.730781786941567
parity_fwd_slope_chg_tilt50,2020-2025,4561,1035,34769.454999999965,347.69454999999965,31.559980428415614,1.570990728388783,-13.07633275783947,2.413519219254718,10.809810512274899,44.266608199956146,53.34356500767375,39.22385441789081,7.623208726156537
parity_fwd_slope_chg_tilt50,2026,593,120,4319.014999999994,43.190149999999946,68.26014289620734,2.786408740649639,-4.12623290950683,16.54296894848959,9.720748335223522,42.32715008431703,52.1079258010118,37.77403035413153,7.2833305227655885
