year,candidates,with_skew,coverage,pooled_spearman,daily_spearman_mean,daily_spearman_days
2020,2378,1919,0.8069806560134567,-0.09637389639124003,-0.019821837137260323,71
2021,6401,4977,0.7775347601937197,-0.04288736908022792,-0.007156789319103477,170
2022,8544,6718,0.7862827715355806,0.0195933067155814,-0.005031399056424175,194
2023,6323,4788,0.7572354894828405,0.002020419563639815,-0.005402793566583402,170
2024,6721,4869,0.7244457669989585,-0.062156895873485545,0.0007739075025628734,178
2025,7682,5926,0.7714136943504296,-0.027538992033694795,-0.017260136063048954,183
2026,5430,3026,0.5572744014732965,0.06113740658438311,0.07035940953857603,84
