n,pnl,full_win,profitable,days,stack,overlay,changed_vs_base
4193.0,38527.454999999994,0.4612449320295731,0.5425709515859767,1104.0,veto_top4_bad,veto_bottom30,0.38752913752913754
4563.0,38261.21499999998,0.4589086127547666,0.5410913872452334,1130.0,veto_gex_cp_iv,veto_bottom20,0.3032245532245532
4974.0,37436.10999999996,0.44229995979091274,0.5359871330920788,1151.0,veto_gex_skewterm,veto_bottom10,0.11829836829836826
5146.0,36653.39999999996,0.43684415079673533,0.5328410415856977,1157.0,veto_gex_skewterm,tilt10,0.015928515928515963
4835.0,36541.62499999995,0.45377456049638054,0.5383660806618408,1141.0,veto_gex_cp_iv,veto_bottom10,0.19386169386169383
5146.0,36219.99499999995,0.4366498251068791,0.532258064516129,1157.0,veto_gex_skewterm,tilt5,0.008547008547008517
5146.0,36218.81999999995,0.4372328021764477,0.5320637388262728,1157.0,veto_gex_cp_iv,tilt20,0.026029526029526018
5146.0,36213.85499999995,0.4362611737271667,0.5320637388262728,1157.0,stack_equal_core,tilt10,0.014957264957264904
5146.0,36203.78499999995,0.4362611737271667,0.532258064516129,1157.0,stack_equal_core,tilt5,0.008935508935508985
5146.0,36164.39499999995,0.4372328021764477,0.5328410415856977,1157.0,veto_gex_cp_iv,tilt10,0.015540015540015495
5146.0,36113.82999999996,0.4366498251068791,0.5318694131364167,1157.0,veto_top4_bad,tilt20,0.027583527583527556
5146.0,35843.33999999995,0.43567819665759816,0.5318694131364167,1157.0,stack_equal_all,tilt10,0.015151515151515138
5146.0,35749.45499999996,0.4358725223474543,0.5318694131364167,1157.0,veto_gex_cp_iv,tilt5,0.007770007770007803
5146.0,35728.64999999996,0.43645549941702294,0.5314807617567042,1157.0,veto_gex_skewterm,tilt20,0.0271950271950272
5146.0,35658.029999999955,0.43606684803731055,0.5314807617567042,1157.0,stack_equal_all,tilt5,0.007964257964257926
4458.0,35602.809999999976,0.44414535666218036,0.5334230596680125,1132.0,veto_gex_skewterm,veto_bottom30,0.317987567987568
5146.0,35597.044999999955,0.43548387096774194,0.5310921103769919,1157.0,stack_weighted_all,tilt5,0.007381507381507335
5146.0,35511.47999999996,0.4362611737271667,0.5320637388262728,1157.0,veto_gex_ivresid,tilt5,0.008352758352758394
5146.0,35469.804999999964,0.4358725223474543,0.5308977846871357,1157.0,veto_gex_ivresid,tilt20,0.027972027972028024
4641.0,35403.11499999998,0.4414996767937944,0.5335057099762982,1136.0,veto_gex_ivresid,veto_bottom20,0.23523698523698522
5146.0,35319.16499999995,0.43567819665759816,0.5316750874465604,1157.0,veto_top4_bad,tilt5,0.0064102564102563875
5146.0,35277.83999999995,0.43548387096774194,0.5308977846871357,1157.0,stack_weighted_core,tilt5,0.007187257187257212
5146.0,35200.59499999996,0.43548387096774194,0.5316750874465604,1157.0,veto_gex_ivresid,tilt10,0.016511266511266554
5146.0,35183.16499999996,0.43509521958802955,0.5307034589972794,1157.0,stack_weighted_core,tilt10,0.01418026418026419
5146.0,35147.89499999996,0.43606684803731055,0.5310921103769919,1157.0,stack_equal_core,tilt20,0.0310800310800311
4542.0,35098.22999999997,0.45530603258476443,0.5378687802730074,1127.0,veto_top4_bad,veto_bottom20,0.29118104118104116
5146.0,35032.72999999995,0.43509521958802955,0.5305091333074232,1157.0,stack_weighted_all,tilt10,0.013986013986013957
5146.0,35027.029999999955,0.43548387096774194,0.5307034589972794,1157.0,BASE,canon,0.0
4735.0,34916.52499999998,0.44012671594508973,0.5336853220696938,1143.0,veto_gex_skewterm,veto_bottom20,0.22416472416472422
5146.0,34707.89499999996,0.43451224251846093,0.5308977846871357,1157.0,veto_top4_bad,tilt10,0.013791763791763834
5146.0,34616.904999999955,0.4358725223474543,0.5297318305479984,1157.0,stack_equal_all,tilt20,0.03049728049728051
4297.0,34482.465,0.44309983709564815,0.5331626716313708,1118.0,veto_gex_ivresid,veto_bottom30,0.3381895881895882
4221.0,34240.725,0.4536839611466477,0.5344705046197583,1107.0,veto_gex_cp_iv,veto_bottom30,0.4042346542346542
4125.0,34199.35999999999,0.44896969696969696,0.5333333333333333,1116.0,veto_gex_skewterm,veto_bottom40,0.40714840714840717
4822.0,34095.85499999995,0.44794690999585235,0.5342181667357943,1138.0,veto_top4_bad,veto_bottom10,0.17463092463092467
4926.0,33716.06499999996,0.43747462444173774,0.5294356475842469,1148.0,veto_gex_ivresid,veto_bottom10,0.127039627039627
5146.0,33566.77999999996,0.43354061406917993,0.5285658764088612,1157.0,stack_weighted_core,tilt20,0.028166278166278147
5146.0,33178.75499999996,0.43354061406917993,0.5283715507190051,1157.0,stack_weighted_all,tilt20,0.02836052836052838
3787.0,32804.125,0.4541853710060734,0.5344599947187748,1068.0,veto_top4_bad,veto_bottom40,0.4817404817404818
3890.0,32600.44500000001,0.44395886889460157,0.5318766066838047,1088.0,veto_gex_ivresid,veto_bottom40,0.43939393939393945
4194.0,32445.96999999998,0.45565092989985695,0.5350500715307582,1116.0,stack_equal_core,veto_bottom30,0.4442501942501943
4834.0,32243.394999999968,0.44290442697558957,0.5314439387670666,1142.0,stack_equal_core,veto_bottom10,0.1897824397824398
3843.0,31824.690000000017,0.4545927660681759,0.5355191256830601,1076.0,veto_gex_cp_iv,veto_bottom40,0.4897047397047397
4861.0,31369.45999999997,0.44188438592882123,0.5297263937461427,1143.0,stack_equal_all,veto_bottom10,0.1775446775446775
