year,bucket,spread_type,n,avg_fut_ret,full_win
2020,1,bear_call,172,0.005333419416400064,0.3313953488372093
2020,1,bull_put,246,0.0012114676841455375,0.43089430894308944
2020,2,bear_call,161,0.007300129178682685,0.36645962732919257
2020,2,bull_put,204,0.00825183286353494,0.5
2020,3,bear_call,156,0.004638164696715088,0.36538461538461536
2020,3,bull_put,209,0.0021143335138555756,0.45933014354066987
2020,4,bear_call,175,0.005768235354923138,0.3314285714285714
2020,4,bull_put,190,0.0027504005540599664,0.43157894736842106
2020,5,bear_call,151,0.007855173139662948,0.37748344370860926
2020,5,bull_put,245,-0.0005948994161450782,0.3877551020408163
2021,1,bear_call,393,0.002961156376321939,0.37659033078880405
2021,1,bull_put,675,0.0011340977382236028,0.4444444444444444
2021,2,bear_call,391,0.003200705667786243,0.37595907928388744
2021,2,bull_put,563,0.0025829491418315168,0.4991119005328597
2021,3,bear_call,367,0.0014721047942959004,0.37057220708446864
2021,3,bull_put,592,0.002369735145438493,0.5202702702702703
2021,4,bear_call,352,0.0037914383517760326,0.375
2021,4,bull_put,602,0.00204547088597834,0.4700996677740864
2021,5,bear_call,365,0.004429282977012769,0.3452054794520548
2021,5,bull_put,669,0.0008932822386234359,0.45590433482810166
2022,1,bear_call,729,0.0006559805847311036,0.4375857338820302
2022,1,bull_put,694,-0.001803116128842744,0.41210374639769454
2022,2,bear_call,736,0.00047877466708832697,0.5
2022,2,bull_put,569,-0.0034304277311025958,0.3954305799648506
2022,3,bear_call,735,-0.0017710632540368799,0.5102040816326531
2022,3,bull_put,564,-0.0033983141685909935,0.36879432624113473
2022,4,bear_call,763,-0.0020390932848769606,0.49148099606815204
2022,4,bull_put,542,-0.0024537458551143034,0.4151291512915129
2022,5,bear_call,797,-0.002295871763846091,0.45420326223337515
2022,5,bull_put,585,-0.0032612573390476203,0.4017094017094017
2023,1,bear_call,493,0.003165681171553384,0.4178498985801217
2023,1,bull_put,534,0.0031230812394289287,0.46254681647940077
2023,2,bear_call,462,0.006171861242675595,0.37445887445887444
2023,2,bull_put,455,0.001664953071488041,0.47692307692307695
2023,3,bear_call,481,0.004913902820749917,0.3991683991683992
2023,3,bull_put,432,0.004109667934350499,0.4699074074074074
2023,4,bear_call,497,0.003832812402370125,0.3903420523138833
2023,4,bull_put,420,0.0026925825441604843,0.45476190476190476
2023,5,bear_call,543,0.0029332046916245897,0.39779005524861877
2023,5,bull_put,454,0.001270576180683417,0.4647577092511013
2024,1,bear_call,399,0.005422390712076726,0.3684210526315789
2024,1,bull_put,654,0.0033121222649699607,0.4709480122324159
2024,2,bear_call,392,0.006629335509800568,0.34183673469387754
2024,2,bull_put,539,0.004858490683296682,0.5417439703153989
2024,3,bear_call,408,0.0065232188880500015,0.3382352941176471
2024,3,bull_put,533,0.003809873252047722,0.4971857410881801
2024,4,bear_call,391,0.006482626441723083,0.35038363171355497
2024,4,bull_put,540,0.004235855824989631,0.49444444444444446
2024,5,bear_call,415,0.0021357351989687305,0.3927710843373494
2024,5,bull_put,591,0.0018631354993941121,0.467005076142132
2025,1,bear_call,516,0.0026177344536680433,0.3682170542635659
2025,1,bull_put,743,-0.00029434724284410114,0.46029609690444145
2025,2,bear_call,509,0.00022586654747203095,0.4165029469548134
2025,2,bull_put,636,-0.0011953896303654563,0.4638364779874214
2025,3,bear_call,510,-0.0015736301224169782,0.4372549019607843
2025,3,bull_put,641,-0.00043514926767389316,0.47425897035881437
2025,4,bear_call,506,0.0020595970743036473,0.40118577075098816
2025,4,bull_put,639,-0.00014753790567327414,0.4694835680751174
2025,5,bear_call,523,-0.0005137730298332795,0.3862332695984704
2025,5,bull_put,696,-0.002510992410321448,0.4396551724137931
2026,1,bear_call,259,0.0006254790281787414,0.444015444015444
2026,1,bull_put,383,-0.0021985999541404653,0.40992167101827676
2026,2,bear_call,275,-0.005375206652281288,0.48727272727272725
2026,2,bull_put,310,-0.0027730081874901796,0.4032258064516129
2026,3,bear_call,277,-0.004467883128318955,0.5270758122743683
2026,3,bull_put,317,-0.0022443931981875735,0.4353312302839117
2026,4,bear_call,267,0.003527708312013668,0.4307116104868914
2026,4,bull_put,318,0.0010406720755136512,0.44025157232704404
2026,5,bear_call,286,0.007262981763248012,0.3951048951048951
2026,5,bull_put,334,0.00020025065141853052,0.4101796407185629
