bull_cut,bear_cut,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,is_bp_n,oot_bp_n,is_bc_n,oot_bc_n,all_pos,score
0.35,0.04,4311,573,-252,-20,32926.65499999999,6519.194999999993,283.56500000002416,1927.8600000000015,0.44328462073764785,0.44502617801047123,0.0023466413381300066,0.02006833652649148,0.5325910461609835,0.5497382198952879,0.0007041296586823842,0.023599939962741567,10.84294176600563,15.263768003285376,0.6943429110969674,4.8242321751661414,1.6098387192498473,4.458920020643548,0.07764761946206433,1.2683532977846346,-12.879063709693494,-6.819910065342983,0.3832070252129629,-0.5616823406007221,3.3561212859815903,27.40951912889112,0.16292661168880374,8.05811287623159,43.22369985961536,186.93045539333556,0.8746875798829805,65.82494827019096,3164,450,1147,123,True,18.328315512972548
0.35,0.05,4298,572,-265,-21,32922.88999999999,6338.0749999999925,279.80000000002474,1746.7400000000007,0.4434620753838995,0.44405594405594406,0.0025240959843816357,0.019098102571964315,0.532805956258725,0.548951048951049,0.0009190397564238229,0.0228127690185026,10.847731482773503,14.903411143048464,0.6991326278648398,4.463875314929229,1.614158574792542,4.457985553332285,0.08196747500475898,1.2674188304733711,-12.879063709693494,-6.82319395955806,0.3832070252129629,-0.5649662348157998,3.3597939349171115,26.433917960859528,0.16659926062432495,7.082511708199998,43.27100013923928,180.36374935799006,0.9219878595068991,59.258242234845454,3178,452,1120,120,True,17.345750385475274
0.35,0.03,4329,576,-234,-17,32905.90499999999,6052.6149999999925,262.81500000002416,1461.2800000000007,0.44282744282744285,0.4409722222222222,0.0018894634279250089,0.016014380738242462,0.5326865326865327,0.5451388888888888,0.0007996161842315219,0.01900060895634248,10.827297978557436,14.052012702174483,0.6786991236487729,3.6124768740552486,1.6098205669125156,4.326062496107277,0.07762946712473262,1.1354957732483637,-13.164340646050587,-7.003639656239303,0.09793008885587007,-0.745411931497042,3.282095704189428,24.29816917523993,0.0889010298966415,4.946762922580401,43.20662588288891,170.1756212097218,0.8576136031565298,49.070114086577206,3156,450,1173,126,True,14.50225078299189
0.25,0.04,4406,581,-157,-12,33483.59499999997,5693.1099999999915,840.5050000000047,1101.7749999999996,0.44416704493871995,0.43717728055077454,0.003229065539202103,0.01221943906679479,0.5324557421697685,0.5438898450946644,0.0005688256674674097,0.017751565162118066,10.600547731139065,13.0297332171902,0.4519488762304018,2.5901973890709655,1.5648076099571486,3.5833267132746958,0.03261651016936562,0.39275999041578213,-12.879063709693494,-6.593202427352896,0.3832070252129629,-0.33497470261063533,3.3796977799758783,23.907282743320884,0.1865031056830917,4.555876490661355,43.527343027819,157.62555461467525,1.1783307480866227,36.52004749153065,3303,465,1103,116,True,11.670436749861668
0.25,0.05,4394,580,-169,-13,33195.21999999998,5378.259999999993,552.1300000000119,786.9250000000011,0.4437869822485207,0.43448275862068964,0.0028490028490028574,0.009524917136709887,0.5323167956304051,0.5431034482758621,0.00042987912810399376,0.01696516834331574,10.510043206613664,12.344567080802493,0.36144435170500167,1.9050312526832585,1.5529192298406678,3.5032400062516276,0.020728130052884763,0.31267328339271394,-12.879063709693494,-6.61709160336974,0.3832070252129629,-0.3588638786274796,3.3614819866717887,22.198713426686155,0.16828731237900207,2.847307174026625,43.29274066533302,146.89092022133607,0.9437283856006431,25.78541309819147,3317,467,1077,113,True,9.090925486438676
0.25,0.03,4420,584,-143,-9,33470.62499999997,5226.5299999999925,827.5350000000035,635.1950000000006,0.4438914027149321,0.4332191780821918,0.002953423315414261,0.008261336598212043,0.532579185520362,0.5393835616438356,0.0006922690180608537,0.013245281711289247,10.598244701269484,11.86340535546883,0.4496458463608217,1.423869527349595,1.5677104209374104,3.4556666281563833,0.035519321149627414,0.26509990529746963,-12.879063709693494,-6.776496394681953,0.3832070252129629,-0.5182686699396921,3.378880463197762,20.925734436039978,0.18568578890497545,1.574328183380448,43.51681675296264,141.8031639618969,1.1678044732302624,20.697656838752295,3294,465,1126,119,True,7.996767354432061
0.35,0.4,3921,547,-642,-46,31393.954999999994,6213.314999999991,-1249.134999999973,1621.9799999999996,0.44554960469268046,0.44972577696526506,0.004611625293162613,0.024767935481285308,0.5320071410354501,0.5521023765996343,0.00012022453314897152,0.025964096667087988,10.917754870421462,15.328971471499237,0.7691560155127988,4.889435643380002,1.5168159086487691,3.9357693586837796,-0.015375191139013866,0.745202635824866,-15.286370753956247,-7.833837657903031,-2.02410001904979,-1.57560993316077,2.812462606236433,22.75379453690336,-0.3807320680563535,3.4023882842438304,42.99234613056817,178.2495325033818,0.6433338508357949,57.144025380237196,3327,470,594,77,False,17.018671189301333
0.35,0.06,4290,571,-273,-22,32403.914999999994,6269.494999999992,-239.1749999999738,1678.1599999999999,0.44312354312354313,0.4448336252189142,0.0021855637240252856,0.019875783734934427,0.5321678321678321,0.5481611208406305,0.0002809156655310119,0.02202284090808415,10.674071842647614,14.848150628740736,0.5254729877389508,4.408614800621502,1.5881846673239712,4.167190521764866,0.05599356753618823,0.9766237989059521,-13.385301341175337,-6.923662949483223,-0.1230306062688804,-0.6654352247409623,3.200636637321578,25.694214972683447,0.00744196302879141,6.342808720023918,42.84148587415544,177.89808422242547,0.4924735944230605,56.79257709928086,3186,453,1104,118,False,16.044007838108712
0.4,0.06,4200,563,-363,-30,31433.209999999995,6156.669999999991,-1209.879999999972,1565.3349999999991,0.4407142857142857,0.45293072824156305,-0.00022369368523211808,0.027972886757583304,0.5307142857142857,0.5470692717584369,-0.0011726307880154385,0.020930991825890533,10.674592157947451,14.65431040002435,0.5259933030387884,4.2147745719051155,1.590113780364195,4.18164687753382,0.05792268057641192,0.991080154674906,-13.452108947465613,-6.273030205836472,-0.189838212559156,-0.014802481094211117,3.1351432397650902,27.71650759449998,-0.058051434527696344,8.36510134184045,42.1742884272303,173.86648934059434,-0.17472385250207623,52.76098221744974,3072,441,1128,122,False,15.651587923818632
0.4,0.4,3802,536,-761,-57,30601.860000000008,5952.03999999999,-2041.2299999999595,1360.704999999998,0.44292477643345607,0.4533582089552239,0.0019867970339382257,0.028400367471244137,0.5299842188321936,0.5485074626865671,-0.0019026976701075338,0.022369182754020778,11.058459340913968,14.824009653473643,0.9098604860053054,4.384473825354409,1.531155648113748,4.002874247316833,-0.0010354516740349595,0.8123075244579194,-16.16347905875858,-5.383239796034545,-2.9012083238521225,0.874987928707716,2.635666067334371,31.36393266586825,-0.5575286069584156,12.012526413208722,42.60153328523968,168.8395704870498,0.2525210055073046,47.73406336390519,3201,456,601,80,False,15.482617683883946
