
######## IS · canon 252s · fill 1.08 · qty1
  thr  k    n   pnl   yld   sh     dd  calmar  put
0.010  1 547 3058  7.66 1.75 -10.47    4.51 82.8
0.010  2 524 3180  8.37 2.04  -9.19    5.35 82.8
0.010  3 499 4259 11.81 2.77  -4.19   16.05 82.6
0.010  4 460 3286  9.82 2.29  -4.46   11.42 82.6
0.010  6 395 3559 12.05 2.81  -3.84   14.44 83.3
0.010  8 302 1848  8.36 1.43  -7.30    3.82 84.8
0.010 12 197 1025  7.27 0.97  -7.95    1.91 86.8
0.010 16 142 1607 16.34 1.86  -5.20    4.63 83.1
0.015  0 479 3416 10.21 2.02  -7.22    7.35 83.7
0.015  1 445 3180 10.12 2.06  -6.71    7.33 83.6
0.015  2 400 2948 10.44 2.05  -5.50    8.26 85.2
0.015  3 349 2133  8.78 1.90  -5.38    6.01 85.4
0.015  4 300 2236 10.62 1.88  -6.79    5.00 86.7
0.015  6 215 1991 12.93 1.72  -4.91    6.13 87.9
0.015  8 172 1282 10.48 1.28  -5.71    3.35 87.2
0.015 12 114 1295 16.60 1.65  -3.72    5.19 85.1
0.015 16  72  727 16.29 1.27  -4.05    2.64 87.5

######## OOT · 52 exp · fill 1.08 · qty1
  thr  k   n  pnl   yld   sh     dd  calmar  put
0.005  0 600 4020  8.84 2.64  -5.13   12.32 76.5
0.005  1 600 3977  8.75 2.57  -5.35   11.67 77.7
0.005  2 598 4434  9.79 2.89  -5.25   13.38 78.4
0.005  3 596 3753  8.28 2.49  -4.49   13.08 78.7
0.005  4 596 3811  8.29 2.49  -4.70   12.70 79.2
0.005  6 589 3055  6.77 2.02  -4.81    9.81 80.8
0.005  8 580 3931  8.99 2.46  -6.49    9.51 82.2
0.005 12 536 3472  8.51 2.19 -10.88    4.97 84.0
0.005 16 459 3654 10.47 2.58  -8.57    6.66 84.1
0.010  0 586 3739  8.46 2.46  -5.08   11.51 77.1
0.010  1 583 3732  8.49 2.42  -5.30   11.01 78.7
0.010  2 578 4096  9.39 2.72  -5.25   12.28 79.6
0.010  3 568 3552  8.24 2.40  -4.45   12.44 79.8
0.010  4 556 3128  7.37 2.11  -3.93   12.31 80.4
0.010  6 517 2554  6.56 1.81  -7.28    5.37 82.2
0.010  8 462 3884 11.15 2.94  -4.79   12.71 84.0
0.010 12 352 2402  8.97 1.88  -9.81    3.73 85.5
0.010 16 268 1618  7.95 1.52  -8.89    2.73 88.1
0.015  0 562 3653  8.62 2.47  -5.08   11.23 77.9
0.015  1 539 3311  8.16 2.24  -5.28    9.73 79.6
0.015  2 518 3476  8.85 2.39  -5.25   10.30 80.5
0.015  3 496 2371  6.31 1.63  -5.09    7.10 81.0
0.015  4 467 2900  8.22 2.10  -4.94    9.03 81.6
0.015  6 396 2043  6.79 1.69  -5.49    5.63 83.3
0.015  8 337 2093  8.18 1.86  -7.09    4.47 86.9
0.015 12 231  451  2.56 0.46 -10.49    0.63 87.4
0.015 16 169 1044  8.22 1.19  -8.02    1.93 87.6

######## OOT · 104 exp · fill 1.08 · qty1
  thr  k   n  pnl   yld   sh     dd  calmar  put
0.005  0 598 2919  6.52 1.49 -12.85    3.50 90.1
0.005  1 598 2934  6.50 1.51 -13.88    3.26 90.1
0.005  2 598 2448  5.43 1.26 -15.24    2.45 90.0
0.005  3 598 2478  5.43 1.34 -13.01    2.91 89.8
0.005  4 597 2802  6.16 1.54 -13.78    3.12 90.3
0.005  6 585 3261  7.24 1.70 -13.65    3.70 91.1
0.005  8 563 4212  9.61 1.99 -15.48    4.29 90.1
0.005 12 479 2378  6.40 1.31 -12.45    2.91 90.2
0.005 16 370 1454  5.09 1.06  -8.57    2.54 90.5
0.010  0 584 3242  7.41 1.65 -10.64    4.72 90.4
0.010  1 572 3451  7.99 1.82 -10.27    5.23 90.6
0.010  2 561 3046  7.20 1.62 -12.23    3.84 90.4
0.010  3 536 3489  8.53 1.85 -10.42    5.21 90.3
0.010  4 511 2926  7.55 1.66 -11.37    3.96 91.2
0.010  6 448 2404  7.07 1.49 -10.60    3.46 91.7
0.010  8 376 2125  7.46 1.53  -8.60    3.75 92.0
0.010 12 271 1724  8.39 1.44  -5.96    4.35 93.4
0.010 16 202 1095  7.37 1.22  -5.28    3.08 93.6
0.015  0 524 2469  6.30 1.39  -8.61    4.38 90.3
0.015  1 485 2950  8.09 1.71  -6.89    6.60 91.3
0.015  2 454 3009  8.86 1.82  -6.10    7.61 91.6
0.015  3 407 2262  7.36 1.57  -6.75    5.09 91.4
0.015  4 361 2026  7.49 1.49  -6.50    4.72 91.4
0.015  6 289 1057  5.00 0.95  -8.94    1.75 93.1
0.015  8 239  883  4.94 0.81  -7.62    1.71 92.5
0.015 12 169 1192  9.60 1.25  -7.36    2.41 92.9
0.015 16 127 1182 12.82 1.40  -5.98    2.94 92.9
